id,data,codigo,nitrato,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
113,2000-04-12 00:00:00+00,329/10,18.9,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
114,2000-10-25 00:00:00+00,329/10,15.27,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
115,2001-10-23 00:00:00+00,329/10,18.3,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
116,2002-03-11 00:00:00+00,329/10,10.23,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
117,2002-10-29 00:00:00+00,329/10,13.07,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
118,2003-03-17 00:00:00+00,329/10,15.9,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
119,2003-11-17 00:00:00+00,329/10,16.0,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
120,2004-04-14 00:00:00+00,329/10,16.79,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
121,2004-10-19 00:00:00+00,329/10,17.233,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
122,2005-04-18 00:00:00+00,329/10,14.57,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
123,2005-10-17 00:00:00+00,329/10,25.21,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
124,2006-03-27 00:00:00+00,329/10,14.58,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
125,2006-10-03 00:00:00+00,329/10,14.13,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
126,2007-04-04 00:00:00+00,329/10,15.46,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
127,2008-04-02 00:00:00+00,329/10,15.02,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
128,2008-10-01 00:00:00+00,329/10,9.7,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
156,2000-04-12 00:00:00+00,329/150,10.45,167360.00,271230.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
157,2000-10-25 00:00:00+00,329/150,5.32,167360.00,271230.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
158,2001-10-23 00:00:00+00,329/150,5.4,167360.00,271230.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
159,2002-03-11 00:00:00+00,329/150,2.48,167360.00,271230.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
160,2002-10-29 00:00:00+00,329/150,3.09,167360.00,271230.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
161,2003-03-17 00:00:00+00,329/150,6.29,167360.00,271230.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
162,2003-11-17 00:00:00+00,329/150,5.71,167360.00,271230.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
163,2004-04-14 00:00:00+00,329/150,6.6,167360.00,271230.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
164,2004-10-19 00:00:00+00,329/150,7.044,167360.00,271230.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
165,2005-04-18 00:00:00+00,329/150,6.16,167360.00,271230.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:15:52.981546+00
294,2004-03-30 00:00:00+00,330/187,5.27,176820.00,275630.00,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA,2025-07-17 14:15:52.981546+00
486,2000-04-12 00:00:00+00,341/240,16.35,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
487,2000-10-25 00:00:00+00,341/240,0.18,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
488,2001-10-23 00:00:00+00,341/240,0.18,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
489,2002-03-11 00:00:00+00,341/240,0.18,165584.00,264987.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,AZINHAGA,2025-07-17 14:15:52.981546+00
