id,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
4,1974-10-01 00:00:00+00,405/52,26.67,3.33,148760.00,218110.00,30.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,BENAVENTE,2025-07-17 14:16:33.426554+00
26,1977-09-01 00:00:00+00,420/8,20.11,23.89,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
27,1977-09-01 00:00:00+00,420/9,20.39,23.61,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
29,1977-09-09 00:00:00+00,420/8,20.11,23.89,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
31,1977-10-01 00:00:00+00,420/9,20.37,23.63,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
32,1977-10-01 00:00:00+00,420/8,19.95,24.05,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
33,1977-10-07 00:00:00+00,420/8,19.95,24.05,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
34,1977-10-21 00:00:00+00,420/8,20.01,23.99,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
36,1977-11-01 00:00:00+00,420/8,20.02,23.98,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
37,1977-11-01 00:00:00+00,420/9,20.34,23.66,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
38,1977-11-04 00:00:00+00,420/8,20.02,23.98,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
