site_id,site_label,y_m,x_m,n_obs,first_date,last_date,mean_ec,p95_ec,freq_label,missing_count,missing_first_5
180060.0_131860.0,443/46 | 180060.0_131860.0,180060.0,131860.0,13,2000-03-20 00:00:00+00:00,2008-04-08 00:00:00+00:00,544.9231,623.8,irregular,0,
180150.0_128950.0,443/734 | 180150.0_128950.0,180150.0,128950.0,12,2000-03-20 00:00:00+00:00,2006-10-23 00:00:00+00:00,174.27501,252.84999999999997,irregular,0,
182730.0_124410.0,443/733 | 182730.0_124410.0,182730.0,124410.0,6,2001-09-03 10:50:00+00:00,2004-09-20 00:00:00+00:00,112.666664,122.75,irregular,0,
183270.0_132250.0,443/263 | 183270.0_132250.0,183270.0,132250.0,14,2000-03-20 00:00:00+00:00,2008-04-08 00:00:00+00:00,179.14285,219.4,irregular,0,
183870.0_125750.0,443/940 | 183870.0_125750.0,183870.0,125750.0,9,2000-03-01 00:00:00+00:00,2004-09-20 00:00:00+00:00,274.22223,500.1999999999999,irregular,0,
184417.0_124269.0,443/1118 | 184417.0_124269.0,184417.0,124269.0,4,2006-02-22 00:00:00+00:00,2008-09-30 00:00:00+00:00,122.25,127.64999999999999,irregular,0,
185060.0_146650.0,444/10 | 185060.0_146650.0,185060.0,146650.0,13,2000-03-20 00:00:00+00:00,2008-04-08 00:00:00+00:00,163.46153,182.39999999999998,irregular,0,
186140.0_128410.0,443/922 | 186140.0_128410.0,186140.0,128410.0,13,2000-03-01 00:00:00+00:00,2008-09-30 00:00:00+00:00,307.07693,367.0,irregular,0,
187300.0_121600.0,443/48 | 187300.0_121600.0,187300.0,121600.0,10,2001-09-03 11:50:00+00:00,2008-09-30 00:00:00+00:00,140.1,150.0,irregular,0,
187667.0_147761.0,444/AG71 | 187667.0_147761.0,187667.0,147761.0,3,2005-10-07 00:00:00+00:00,2007-11-15 00:00:00+00:00,267.0,299.0,irregular,0,
188020.0_126050.0,443/920 | 188020.0_126050.0,188020.0,126050.0,12,2000-03-01 00:00:00+00:00,2008-09-30 00:00:00+00:00,256.16666,423.49999999999983,irregular,0,
189450.0_158200.0,445/63 | 189450.0_158200.0,189450.0,158200.0,20,2001-10-22 10:40:00+00:00,2023-04-05 00:00:00+00:00,299.18182,330.0,irregular,0,
191470.0_129370.0,432/740 | 191470.0_129370.0,191470.0,129370.0,13,2000-04-03 00:00:00+00:00,2012-11-05 14:50:00+00:00,390.91666,447.7,irregular,0,
193207.0_165002.0,434/AG54 | 193207.0_165002.0,193207.0,165002.0,5,2005-10-07 00:00:00+00:00,2008-03-31 00:00:00+00:00,181.0,248.39999999999998,irregular,0,
193850.0_131320.0,432/787 | 193850.0_131320.0,193850.0,131320.0,1,2004-09-22 00:00:00+00:00,2004-09-22 00:00:00+00:00,651.0,651.0,unknown,0,
194380.0_167936.0,434/2 | 194380.0_167936.0,194380.0,167936.0,5,2021-04-19 00:00:00+00:00,2023-04-10 00:00:00+00:00,,,irregular,0,
194794.0_145744.0,433/AG50 | 194794.0_145744.0,194794.0,145744.0,5,2005-10-07 00:00:00+00:00,2008-04-21 00:00:00+00:00,504.8,708.8,irregular,0,
194815.0_167631.0,434/3 | 194815.0_167631.0,194815.0,167631.0,5,2021-04-19 00:00:00+00:00,2023-04-10 00:00:00+00:00,,,irregular,0,
194839.56_123946.4,432/963 | 194839.56_123946.4,194839.56,123946.4,11,2018-01-03 00:00:00+00:00,2023-09-13 00:00:00+00:00,,,irregular,0,
194930.0_124200.0,432/724 | 194930.0_124200.0,194930.0,124200.0,14,2000-03-08 00:00:00+00:00,2008-09-22 00:00:00+00:00,350.85715,389.45,irregular,0,
195039.0_149725.0,433/AG76 | 195039.0_149725.0,195039.0,149725.0,5,2005-10-07 00:00:00+00:00,2008-04-21 00:00:00+00:00,754.2,1000.0,irregular,0,
195200.0_167360.0,434/307 | 195200.0_167360.0,195200.0,167360.0,5,2021-04-19 00:00:00+00:00,2023-04-10 00:00:00+00:00,,,irregular,0,
197120.0_130280.0,432/549 | 197120.0_130280.0,197120.0,130280.0,27,2000-03-08 00:00:00+00:00,2023-08-30 00:00:00+00:00,345.1875,401.5,irregular,0,
197293.0_140237.0,433/AG74 | 197293.0_140237.0,197293.0,140237.0,5,2005-10-07 00:00:00+00:00,2008-09-22 00:00:00+00:00,206.0,217.2,irregular,0,
204500.4_154278.7,420/105 | 204500.4_154278.7,204500.4,154278.7,4,2006-03-29 00:00:00+00:00,2008-03-31 00:00:00+00:00,231.0,233.4,irregular,0,
204799.0_136088.0,419/AG3 | 204799.0_136088.0,204799.0,136088.0,2,2005-10-06 00:00:00+00:00,2007-03-28 00:00:00+00:00,686.5,728.35,irregular,0,
204958.0_131467.0,418/AG49 | 204958.0_131467.0,204958.0,131467.0,3,2005-10-06 00:00:00+00:00,2007-11-05 00:00:00+00:00,662.3333,702.3,irregular,0,
204980.0_135060.0,418/4 | 204980.0_135060.0,204980.0,135060.0,9,2000-03-13 00:00:00+00:00,2007-11-05 00:00:00+00:00,467.22223,586.8,irregular,0,
210230.0_147250.0,405/86 | 210230.0_147250.0,210230.0,147250.0,23,2000-03-13 00:00:00+00:00,2018-10-18 00:00:00+00:00,250.35715,294.8,irregular,0,
210870.0_134850.0,404/69 | 210870.0_134850.0,210870.0,134850.0,9,2000-03-13 00:00:00+00:00,2007-11-05 00:00:00+00:00,792.2222,1239.9999999999998,irregular,0,
210931.0_147609.0,405/166 | 210931.0_147609.0,210931.0,147609.0,16,2013-02-21 00:00:00+00:00,2023-05-23 00:00:00+00:00,,,irregular,0,
211339.0_139649.0,405/AG6 | 211339.0_139649.0,211339.0,139649.0,3,2005-10-06 00:00:00+00:00,2007-11-05 00:00:00+00:00,1001.0,1175.7,irregular,0,
217770.0_133900.0,404/73 | 217770.0_133900.0,217770.0,133900.0,18,2000-04-10 00:00:00+00:00,2023-04-26 00:00:00+00:00,748.8,784.8,irregular,0,
217770.0_133919.0,390/106 | 217770.0_133919.0,217770.0,133919.0,15,2016-01-27 00:00:00+00:00,2023-04-26 00:00:00+00:00,,,irregular,0,
219500.0_136600.0,405/17 | 219500.0_136600.0,219500.0,136600.0,8,2000-03-13 00:00:00+00:00,2012-12-17 08:55:00+00:00,1082.4286,1416.2999999999997,irregular,0,
221120.0_148130.0,391/404 | 221120.0_148130.0,221120.0,148130.0,28,2000-03-13 00:00:00+00:00,2023-05-09 00:00:00+00:00,229.33333,319.3999999999999,irregular,0,
222106.0_132573.0,390/125 | 222106.0_132573.0,222106.0,132573.0,14,2016-03-16 00:00:00+00:00,2023-04-17 00:00:00+00:00,,,irregular,0,
222574.2_159869.5,392/106 | 222574.2_159869.5,222574.2,159869.5,6,2013-02-26 00:00:00+00:00,2016-09-20 00:00:00+00:00,,,irregular,0,
222600.0_133220.0,390/116 | 222600.0_133220.0,222600.0,133220.0,11,2016-04-13 00:00:00+00:00,2023-04-12 00:00:00+00:00,,,irregular,0,
222676.0_133310.0,390/95 | 222676.0_133310.0,222676.0,133310.0,9,2016-03-09 00:00:00+00:00,2022-10-12 00:00:00+00:00,,,irregular,0,
223500.0_145970.0,391/244 | 223500.0_145970.0,223500.0,145970.0,15,2000-03-13 00:00:00+00:00,2009-09-22 00:00:00+00:00,339.53333,383.2,irregular,0,
223620.0_141270.0,391/280 | 223620.0_141270.0,223620.0,141270.0,11,2000-03-13 00:00:00+00:00,2007-03-28 00:00:00+00:00,534.4545,699.0,irregular,0,
223636.05_141296.94,391/477 | 223636.05_141296.94,223636.03,141296.94,13,2014-06-05 00:00:00+00:00,2023-05-09 00:00:00+00:00,,,irregular,0,
224099.0_144440.0,391/AG14 | 224099.0_144440.0,224099.0,144440.0,6,2005-10-06 00:00:00+00:00,2009-09-22 00:00:00+00:00,385.0,462.75,irregular,0,
224433.0_151239.0,391/312 | 224433.0_151239.0,224433.0,151239.0,2,2012-05-31 00:00:00+00:00,2013-02-20 00:00:00+00:00,,,irregular,0,
225430.0_147560.0,391/266 | 225430.0_147560.0,225430.0,147560.0,13,2000-03-27 00:00:00+00:00,2009-09-23 00:00:00+00:00,360.53845,401.79999999999995,irregular,0,
226240.0_146740.0,391/33 | 226240.0_146740.0,226240.0,146740.0,13,2000-03-27 00:00:00+00:00,2009-09-23 00:00:00+00:00,631.3077,873.5999999999998,irregular,0,
231100.0_152550.0,378/57 | 231100.0_152550.0,231100.0,152550.0,16,2000-03-27 00:00:00+00:00,2012-12-05 10:45:00+00:00,234.66667,263.4,irregular,0,
234273.0_148399.0,377/94 | 234273.0_148399.0,234273.0,148399.0,14,2000-03-27 00:00:00+00:00,2009-09-23 00:00:00+00:00,319.07144,397.0,irregular,0,
234550.0_144300.0,377/262 | 234550.0_144300.0,234550.0,144300.0,8,2002-11-12 00:00:00+00:00,2008-03-03 00:00:00+00:00,436.0,495.2,irregular,0,
237050.0_150150.0,377/236 | 237050.0_150150.0,237050.0,150150.0,13,2000-03-27 00:00:00+00:00,2009-09-23 00:00:00+00:00,364.76923,431.9999999999999,irregular,0,
237470.0_147040.0,377/264 | 237470.0_147040.0,237470.0,147040.0,8,2002-11-12 00:00:00+00:00,2008-03-03 00:00:00+00:00,716.875,1034.2499999999998,irregular,0,
238350.0_161400.0,378/63 | 238350.0_161400.0,238350.0,161400.0,15,2000-03-27 00:00:00+00:00,2009-10-26 00:00:00+00:00,128.6,148.2,irregular,0,
239000.0_147600.0,377/263 | 239000.0_147600.0,239000.0,147600.0,3,2002-11-18 00:00:00+00:00,2006-09-05 00:00:00+00:00,1724.3334,2926.3999999999996,irregular,0,
241900.0_147360.0,364/259 | 241900.0_147360.0,241900.0,147360.0,9,2002-11-12 00:00:00+00:00,2008-03-03 00:00:00+00:00,635.3333,746.8,irregular,0,
241950.0_152850.0,365/15 | 241950.0_152850.0,241950.0,152850.0,10,2002-10-29 00:00:00+00:00,2008-09-25 00:00:00+00:00,283.2,306.65,irregular,0,
242603.0_166194.0,365/AG25 | 242603.0_166194.0,242603.0,166194.0,5,2005-10-06 00:00:00+00:00,2009-10-26 00:00:00+00:00,633.0,1317.9999999999998,irregular,0,
243744.0_167341.0,365/AG18 | 243744.0_167341.0,243744.0,167341.0,4,2005-10-06 00:00:00+00:00,2008-04-07 00:00:00+00:00,724.0,855.0,irregular,0,
244000.0_149570.0,364/260 | 244000.0_149570.0,244000.0,149570.0,5,2002-11-11 00:00:00+00:00,2004-10-12 00:00:00+00:00,520.0,554.4,irregular,0,
244005.0_149575.0,364/297 | 244005.0_149575.0,244005.0,149575.0,3,2006-03-07 00:00:00+00:00,2008-03-03 00:00:00+00:00,804.0,846.0,irregular,0,
244383.0_167982.0,365/AG19 | 244383.0_167982.0,244383.0,167982.0,4,2005-10-06 00:00:00+00:00,2008-04-07 00:00:00+00:00,365.75,382.55,irregular,0,
244710.0_161520.0,365/27 | 244710.0_161520.0,244710.0,161520.0,30,2000-03-27 00:00:00+00:00,2023-05-10 00:00:00+00:00,229.13333,243.5,irregular,0,
245140.0_154350.0,365/470 | 245140.0_154350.0,245140.0,154350.0,10,2002-10-29 00:00:00+00:00,2012-11-12 09:15:00+00:00,353.0,484.19999999999993,irregular,0,
247540.0_156160.0,365/471 | 247540.0_156160.0,247540.0,156160.0,5,2002-10-29 00:00:00+00:00,2004-10-11 00:00:00+00:00,308.6,330.0,irregular,0,
248280.0_156920.0,365/18 | 248280.0_156920.0,248280.0,156920.0,3,2000-03-27 00:00:00+00:00,2001-04-16 11:25:00+00:00,214.66667,231.4,irregular,0,
250290.0_153770.0,353/363 | 250290.0_153770.0,250290.0,153770.0,8,2003-10-07 00:00:00+00:00,2008-09-29 00:00:00+00:00,826.75,934.4,irregular,0,
250300.0_158460.0,353/22 | 250300.0_158460.0,250300.0,158460.0,10,2002-11-11 00:00:00+00:00,2008-09-25 00:00:00+00:00,404.3,503.9999999999999,irregular,0,
252892.0_163432.0,353/687 | 252892.0_163432.0,252892.0,163432.0,1,2013-01-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,,,unknown,0,
253010.0_153980.0,353/30 | 253010.0_153980.0,253010.0,153980.0,27,2000-03-20 00:00:00+00:00,2023-09-04 00:00:00+00:00,336.53333,360.6,irregular,0,
253650.0_155460.0,353/362 | 253650.0_155460.0,253650.0,155460.0,10,2002-11-18 00:00:00+00:00,2009-05-11 00:00:00+00:00,1016.5,1309.9999999999998,irregular,0,
256040.0_161750.0,353/87 | 256040.0_161750.0,256040.0,161750.0,11,2002-11-11 00:00:00+00:00,2008-09-25 00:00:00+00:00,277.18182,365.0,irregular,0,
258000.0_165001.0,353/373 | 258000.0_165001.0,258000.0,165001.0,8,2003-04-07 00:00:00+00:00,2009-05-28 00:00:00+00:00,302.5,411.74999999999994,irregular,0,
258300.0_166310.0,353/26 | 258300.0_166310.0,258300.0,166310.0,9,2000-04-17 00:00:00+00:00,2004-09-27 00:00:00+00:00,152.55556,208.39999999999998,irregular,0,
260910.0_166960.0,341/251 | 260910.0_166960.0,260910.0,166960.0,9,2002-11-06 00:00:00+00:00,2008-09-25 00:00:00+00:00,825.44446,933.2,irregular,0,
262470.0_161780.0,341/252 | 262470.0_161780.0,262470.0,161780.0,10,2002-11-05 00:00:00+00:00,2009-10-19 00:00:00+00:00,1146.8,1326.6499999999999,irregular,0,
263000.0_163850.0,341/242 | 263000.0_163850.0,263000.0,163850.0,16,2000-03-20 00:00:00+00:00,2009-10-19 00:00:00+00:00,294.625,311.5,irregular,0,
