site_id,site_label,freq_label,missing_count,missing_first_5
Abrantes_39.468_-8.264,Abrantes | Abrantes_39.468_-8.264,annual,29,"1990, 1991, 1992, 1993, 1994"
Alcochete_38.722_-8.895,Alcochete | Alcochete_38.722_-8.895,annual,29,"1990, 1991, 1992, 1993, 1994"
Alenquer_39.014_-8.94,Alenquer | Alenquer_39.014_-8.94,annual,29,"1990, 1991, 1992, 1993, 1994"
Almeirim_39.166_-8.599,Almeirim | Almeirim_39.166_-8.599,annual,29,"1990, 1991, 1992, 1993, 1994"
Alpiarça_39.241_-8.571,Alpiarça | Alpiarça_39.241_-8.571,annual,29,"1990, 1991, 1992, 1993, 1994"
Azambuja_39.05_-8.854,Azambuja | Azambuja_39.05_-8.854,annual,29,"1990, 1991, 1992, 1993, 1994"
Benavente_38.868_-8.809,Benavente | Benavente_38.868_-8.809,annual,29,"1990, 1991, 1992, 1993, 1994"
Cartaxo_39.127_-8.745,Cartaxo | Cartaxo_39.127_-8.745,annual,29,"1990, 1991, 1992, 1993, 1994"
Chamusca_39.362_-8.483,Chamusca | Chamusca_39.362_-8.483,annual,29,"1990, 1991, 1992, 1993, 1994"
Constância_39.465_-8.303,Constância | Constância_39.465_-8.303,annual,29,"1990, 1991, 1992, 1993, 1994"
Coruche_38.978_-8.624,Coruche | Coruche_38.978_-8.624,annual,29,"1990, 1991, 1992, 1993, 1994"
Golegã_39.382_-8.508,Golegã | Golegã_39.382_-8.508,annual,29,"1990, 1991, 1992, 1993, 1994"
Moita_38.647_-8.997,Moita | Moita_38.647_-8.997,annual,29,"1990, 1991, 1992, 1993, 1994"
Montijo_38.737_-8.64,Montijo | Montijo_38.737_-8.64,annual,29,"1990, 1991, 1992, 1993, 1994"
Palmela_38.619_-8.807,Palmela | Palmela_38.619_-8.807,annual,29,"1990, 1991, 1992, 1993, 1994"
Salvaterra_de_Magos_39.043_-8.713,Salvaterra de Magos | Salvaterra_de_Magos_39.043_-8.713,annual,29,"1990, 1991, 1992, 1993, 1994"
Santarém_39.275_-8.635,Santarém | Santarém_39.275_-8.635,annual,29,"1990, 1991, 1992, 1993, 1994"
Torres_Novas_39.421_-8.509,Torres Novas | Torres_Novas_39.421_-8.509,annual,29,"1990, 1991, 1992, 1993, 1994"
Vila_Franca_de_Xira_38.943_-8.931,Vila Franca de Xira | Vila_Franca_de_Xira_38.943_-8.931,annual,29,"1990, 1991, 1992, 1993, 1994"
Vila_Nova_da_Barquinha_39.461_-8.395,Vila Nova da Barquinha | Vila_Nova_da_Barquinha_39.461_-8.395,annual,29,"1990, 1991, 1992, 1993, 1994"
