site_id,site_label,freq_label,missing_count,missing_first_5
180060.0_131860.0,443/46 | 180060.0_131860.0,irregular,0,
180150.0_128950.0,443/734 | 180150.0_128950.0,irregular,0,
182730.0_124410.0,443/733 | 182730.0_124410.0,irregular,0,
183270.0_132250.0,443/263 | 183270.0_132250.0,irregular,0,
183870.0_125750.0,443/940 | 183870.0_125750.0,irregular,0,
184417.0_124269.0,443/1118 | 184417.0_124269.0,irregular,0,
185060.0_146650.0,444/10 | 185060.0_146650.0,irregular,0,
186136.05_128391.0,443/1294 | 186136.05_128391.0,irregular,0,
186140.0_128410.0,443/922 | 186140.0_128410.0,irregular,0,
187300.0_121600.0,443/48 | 187300.0_121600.0,irregular,0,
187667.0_147761.0,444/AG71 | 187667.0_147761.0,irregular,0,
188020.0_126050.0,443/920 | 188020.0_126050.0,irregular,0,
188463.9_147305.98,444/456 | 188463.9_147305.98,irregular,0,
189450.0_158200.0,445/63 | 189450.0_158200.0,irregular,0,
191395.0_129395.0,432/1014 | 191395.0_129395.0,irregular,0,
191470.0_129370.0,432/740 | 191470.0_129370.0,irregular,0,
193207.0_165002.0,434/AG54 | 193207.0_165002.0,irregular,0,
193850.0_131320.0,432/787 | 193850.0_131320.0,unknown,0,
194380.0_167936.0,434/2 | 194380.0_167936.0,irregular,0,
194794.0_145744.0,433/AG50 | 194794.0_145744.0,irregular,0,
194815.0_167631.0,434/3 | 194815.0_167631.0,irregular,0,
194839.56_123946.4,432/963 | 194839.56_123946.4,irregular,0,
194930.0_124200.0,432/724 | 194930.0_124200.0,irregular,0,
195039.0_149725.0,433/AG76 | 195039.0_149725.0,irregular,0,
195200.0_167360.0,434/307 | 195200.0_167360.0,irregular,0,
197120.0_130280.0,432/549 | 197120.0_130280.0,irregular,0,
197293.0_140237.0,433/AG74 | 197293.0_140237.0,irregular,0,
204500.4_154278.7,420/105 | 204500.4_154278.7,irregular,0,
204799.0_136088.0,419/AG3 | 204799.0_136088.0,irregular,0,
204958.0_131467.0,418/AG49 | 204958.0_131467.0,irregular,0,
204980.0_135060.0,418/4 | 204980.0_135060.0,irregular,0,
207520.0_132260.0,418/15 | 207520.0_132260.0,irregular,0,
208638.9_148789.9,419/37 | 208638.9_148789.9,irregular,0,
210230.0_147250.0,405/86 | 210230.0_147250.0,irregular,0,
210870.0_134850.0,404/69 | 210870.0_134850.0,irregular,0,
210931.0_147609.0,405/166 | 210931.0_147609.0,irregular,0,
211339.0_139649.0,405/AG6 | 211339.0_139649.0,irregular,0,
212681.0_136682.0,405/32 | 212681.0_136682.0,irregular,0,
217770.0_133900.0,404/73 | 217770.0_133900.0,irregular,0,
217770.0_133919.0,390/106 | 217770.0_133919.0,irregular,0,
219500.0_136600.0,405/17 | 219500.0_136600.0,irregular,0,
221120.0_148130.0,391/404 | 221120.0_148130.0,irregular,0,
222106.0_132573.0,390/125 | 222106.0_132573.0,irregular,0,
222574.2_159869.5,392/106 | 222574.2_159869.5,irregular,0,
222600.0_133220.0,390/116 | 222600.0_133220.0,irregular,0,
222676.0_133310.0,390/95 | 222676.0_133310.0,irregular,0,
223500.0_145970.0,391/244 | 223500.0_145970.0,irregular,0,
223620.0_141270.0,391/280 | 223620.0_141270.0,irregular,0,
223636.05_141296.94,391/477 | 223636.05_141296.94,irregular,0,
224099.0_144440.0,391/AG14 | 224099.0_144440.0,irregular,0,
224433.0_151239.0,391/312 | 224433.0_151239.0,irregular,0,
225430.0_147560.0,391/266 | 225430.0_147560.0,irregular,0,
226240.0_146740.0,391/33 | 226240.0_146740.0,irregular,0,
231100.0_152550.0,378/57 | 231100.0_152550.0,irregular,0,
234273.0_148399.0,377/94 | 234273.0_148399.0,irregular,0,
234550.0_144300.0,377/262 | 234550.0_144300.0,irregular,0,
237050.0_150150.0,377/236 | 237050.0_150150.0,irregular,0,
237470.0_147040.0,377/264 | 237470.0_147040.0,irregular,0,
238350.0_161400.0,378/63 | 238350.0_161400.0,irregular,0,
239000.0_147600.0,377/263 | 239000.0_147600.0,irregular,0,
239462.0_146752.0,377/287 | 239462.0_146752.0,unknown,0,
241900.0_147360.0,364/259 | 241900.0_147360.0,irregular,0,
241950.0_152850.0,365/15 | 241950.0_152850.0,irregular,0,
242603.0_166194.0,365/AG25 | 242603.0_166194.0,irregular,0,
243744.0_167341.0,365/AG18 | 243744.0_167341.0,irregular,0,
244000.0_149570.0,364/260 | 244000.0_149570.0,irregular,0,
244005.0_149575.0,364/297 | 244005.0_149575.0,irregular,0,
244383.0_167982.0,365/AG19 | 244383.0_167982.0,irregular,0,
244710.0_161520.0,365/27 | 244710.0_161520.0,irregular,0,
245140.0_154350.0,365/470 | 245140.0_154350.0,irregular,0,
247540.0_156160.0,365/471 | 247540.0_156160.0,irregular,0,
248280.0_156920.0,365/18 | 248280.0_156920.0,irregular,0,
250290.0_153770.0,353/363 | 250290.0_153770.0,irregular,0,
250300.0_158460.0,353/22 | 250300.0_158460.0,irregular,0,
250302.5_158622.2,353/691 | 250302.5_158622.2,irregular,0,
252892.0_163432.0,353/687 | 252892.0_163432.0,unknown,0,
253010.0_153980.0,353/30 | 253010.0_153980.0,irregular,0,
253600.0_162940.0,353/353 | 253600.0_162940.0,irregular,0,
253650.0_155460.0,353/362 | 253650.0_155460.0,irregular,0,
256040.0_161750.0,353/87 | 256040.0_161750.0,irregular,0,
258000.0_165001.0,353/373 | 258000.0_165001.0,irregular,0,
258300.0_166310.0,353/26 | 258300.0_166310.0,irregular,0,
260910.0_166960.0,341/251 | 260910.0_166960.0,irregular,0,
262470.0_161780.0,341/252 | 262470.0_161780.0,irregular,0,
263000.0_163850.0,341/242 | 263000.0_163850.0,irregular,0,
264600.0_164000.0,341/253 | 264600.0_164000.0,irregular,0,
264987.0_165584.0,341/240 | 264987.0_165584.0,irregular,0,
265050.0_165540.0,341/17 | 265050.0_165540.0,irregular,0,
265270.0_167050.0,341/254 | 265270.0_167050.0,irregular,0,
266170.0_165643.0,341/241 | 266170.0_165643.0,irregular,0,
267550.0_168420.0,342/115 | 267550.0_168420.0,irregular,0,
268440.0_166540.0,341/255 | 268440.0_166540.0,irregular,0,
268700.0_171250.0,342/113 | 268700.0_171250.0,irregular,0,
268980.0_168360.0,342/114 | 268980.0_168360.0,irregular,0,
269032.0_166921.0,341/269 | 269032.0_166921.0,irregular,0,
270663.0_167873.0,329/341 | 270663.0_167873.0,irregular,0,
270680.0_174290.0,330/186 | 270680.0_174290.0,irregular,0,
270792.0_174332.0,330/22 | 270792.0_174332.0,irregular,0,
271040.0_166700.0,329/6 | 271040.0_166700.0,irregular,0,
271230.0_167360.0,329/150 | 271230.0_167360.0,irregular,0,
271260.0_167430.0,329/10 | 271260.0_167430.0,irregular,0,
271440.0_171120.0,330/235 | 271440.0_171120.0,irregular,0,
271850.0_174000.0,330/230 | 271850.0_174000.0,irregular,0,
273470.0_170250.0,330/233 | 273470.0_170250.0,irregular,0,
274000.0_174380.0,330/232 | 274000.0_174380.0,irregular,0,
274050.0_169030.0,330/234 | 274050.0_169030.0,irregular,0,
275180.0_175050.0,330/231 | 275180.0_175050.0,irregular,0,
275630.0_176820.0,330/187 | 275630.0_176820.0,irregular,0,
276740.0_187630.0,331/129 | 276740.0_187630.0,irregular,0,
277700.0_188860.0,331/130 | 277700.0_188860.0,irregular,0,
277700.0_189600.0,331/131 | 277700.0_189600.0,irregular,0,
278970.0_188570.0,331/1 | 278970.0_188570.0,irregular,0,
