site_id,site_label,y_m,x_m,n_obs,first_date,last_date,mean_nitrate,p95_nitrate,freq_label,missing_count,missing_first_5
180060.0_131860.0,443/46 | 180060.0_131860.0,180060.0,131860.0,37,2000-03-20 00:00:00+00:00,2023-10-18 10:30:00+00:00,28.348026,39.16600036621094,irregular,0,
180150.0_128950.0,443/734 | 180150.0_128950.0,180150.0,128950.0,15,2000-03-20 00:00:00+00:00,2006-10-23 00:00:00+00:00,12.193533,30.868999290466306,irregular,0,
182730.0_124410.0,443/733 | 182730.0_124410.0,182730.0,124410.0,10,2000-03-01 00:00:00+00:00,2005-03-14 00:00:00+00:00,2.6615,3.499500048160552,irregular,0,
183270.0_132250.0,443/263 | 183270.0_132250.0,183270.0,132250.0,39,2000-03-20 00:00:00+00:00,2023-10-18 10:00:00+00:00,35.155052,49.2,irregular,0,
183870.0_125750.0,443/940 | 183870.0_125750.0,183870.0,125750.0,12,2000-03-01 00:00:00+00:00,2005-10-03 00:00:00+00:00,37.382748,50.30399951934814,irregular,0,
184417.0_124269.0,443/1118 | 184417.0_124269.0,184417.0,124269.0,8,2006-02-22 00:00:00+00:00,2013-11-29 17:00:00+00:00,2.496,3.6499999999999995,irregular,0,
185060.0_146650.0,444/10 | 185060.0_146650.0,185060.0,146650.0,37,2000-03-20 00:00:00+00:00,2023-10-18 11:15:00+00:00,7.4781084,10.0,irregular,0,
186136.05_128391.0,443/1294 | 186136.05_128391.0,186136.03,128391.0,20,2013-03-11 11:45:00+00:00,2023-09-26 10:45:00+00:00,2.695,4.465000081062318,irregular,0,
186140.0_128410.0,443/922 | 186140.0_128410.0,186140.0,128410.0,20,2000-03-01 00:00:00+00:00,2011-02-17 12:14:00+00:00,10.4872,21.51200027465821,irregular,0,
187300.0_121600.0,443/48 | 187300.0_121600.0,187300.0,121600.0,38,2000-03-01 00:00:00+00:00,2023-09-26 11:20:00+00:00,4.230737,6.10499997138977,irregular,0,
187667.0_147761.0,444/AG71 | 187667.0_147761.0,187667.0,147761.0,4,2007-03-22 00:00:00+00:00,2011-02-17 13:35:00+00:00,37.527496,74.60549659729004,irregular,0,
188020.0_126050.0,443/920 | 188020.0_126050.0,188020.0,126050.0,18,2000-03-01 00:00:00+00:00,2010-06-21 12:00:00+00:00,5.552389,12.149999999999999,irregular,0,
188463.9_147305.98,444/456 | 188463.9_147305.98,188463.89,147305.98,19,2013-03-07 11:38:00+00:00,2023-10-18 11:45:00+00:00,12.573684,20.999999999999957,irregular,0,
