site_id,site_label,freq_label,missing_count,missing_first_5
181651.8_127393.1,443/924 | 181651.8_127393.1,daily,8632,"1999-12-02 00:00:00+00:00, 1999-12-03 00:00:00+00:00, 1999-12-04 00:00:00+00:00, 1999-12-05 00:00:00+00:00, 1999-12-06 00:00:00+00:00"
182086.3_140865.0,444/85 | 182086.3_140865.0,monthly,208,"2001-07-01 00:00:00+00:00, 2001-08-01 00:00:00+00:00, 2001-09-01 00:00:00+00:00, 2001-10-01 00:00:00+00:00, 2001-11-01 00:00:00+00:00"
183790.2_146361.6,444/317 | 183790.2_146361.6,daily,8668,"1999-12-02 00:00:00+00:00, 1999-12-03 00:00:00+00:00, 1999-12-04 00:00:00+00:00, 1999-12-05 00:00:00+00:00, 1999-12-06 00:00:00+00:00"
183830.0_146440.0,444/318 | 183830.0_146440.0,31.5d,76,"2005-06-01 00:00:00+00:00, 2005-07-01 00:00:00+00:00, 2005-08-01 00:00:00+00:00, 2005-09-01 00:00:00+00:00, 2005-10-01 00:00:00+00:00"
190187.4_133281.5,432/855 | 190187.4_133281.5,monthly,256,"2003-06-01 00:00:00+00:00, 2003-07-01 00:00:00+00:00, 2003-08-01 00:00:00+00:00, 2003-09-01 00:00:00+00:00, 2003-10-01 00:00:00+00:00"
192605.4_164378.1,434/306 | 192605.4_164378.1,daily,5096,"2003-05-19 00:00:00+00:00, 2003-05-20 00:00:00+00:00, 2003-05-21 00:00:00+00:00, 2003-05-22 00:00:00+00:00, 2003-05-23 00:00:00+00:00"
192932.0_140560.5,433/297 | 192932.0_140560.5,32.0d,202,"2003-06-01 00:00:00+00:00, 2003-07-01 00:00:00+00:00, 2003-08-01 00:00:00+00:00, 2003-09-01 00:00:00+00:00, 2003-10-01 00:00:00+00:00"
193570.0_131190.0,432/77 | 193570.0_131190.0,monthly,179,"1979-04-01 00:00:00+00:00, 1979-11-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-01-01 00:00:00+00:00"
193590.0_131160.0,432/73 | 193590.0_131160.0,43.0d,194,"1978-03-01 00:00:00+00:00, 1978-04-01 00:00:00+00:00, 1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00, 1978-07-01 00:00:00+00:00"
194088.8_135603.2,432/800 | 194088.8_135603.2,monthly,262,"2001-07-01 00:00:00+00:00, 2001-08-01 00:00:00+00:00, 2001-09-01 00:00:00+00:00, 2001-10-01 00:00:00+00:00, 2001-11-01 00:00:00+00:00"
194920.0_124180.0,432/69 | 194920.0_124180.0,monthly,21,"2000-01-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-07-01 00:00:00+00:00, 2001-08-01 00:00:00+00:00, 2001-09-01 00:00:00+00:00"
197803.0_127596.6,432/68 | 197803.0_127596.6,32.0d,445,"1978-09-01 00:00:00+00:00, 1978-10-01 00:00:00+00:00, 1978-11-01 00:00:00+00:00, 1978-12-01 00:00:00+00:00, 1979-01-01 00:00:00+00:00"
199241.8_152684.0,434/280 | 199241.8_152684.0,daily,8186,"2001-01-23 00:00:00+00:00, 2001-01-24 00:00:00+00:00, 2001-01-25 00:00:00+00:00, 2001-01-26 00:00:00+00:00, 2001-01-27 00:00:00+00:00"
199930.2_156971.4,420/12 | 199930.2_156971.4,32.0d,480,"1979-11-01 00:00:00+00:00, 1980-06-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-12-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00"
204253.4_152403.4,420/8 | 204253.4_152403.4,10.0d,404,"1979-11-01 00:00:00+00:00, 1980-02-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-01-01 00:00:00+00:00"
204254.6_152404.1,420/9 | 204254.6_152404.1,daily,16624,"1977-09-02 00:00:00+00:00, 1977-09-03 00:00:00+00:00, 1977-09-04 00:00:00+00:00, 1977-09-05 00:00:00+00:00, 1977-09-06 00:00:00+00:00"
204500.4_154278.7,420/105 | 204500.4_154278.7,32.0d,225,"2006-02-01 00:00:00+00:00, 2006-03-01 00:00:00+00:00, 2006-04-01 00:00:00+00:00, 2006-05-01 00:00:00+00:00, 2006-06-01 00:00:00+00:00"
204980.0_135060.0,418/4 | 204980.0_135060.0,monthly,369,"1979-11-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00, 1981-04-01 00:00:00+00:00"
207520.0_132260.0,418/15 | 207520.0_132260.0,monthly,405,"1979-11-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00, 1981-04-01 00:00:00+00:00"
208900.0_137570.0,405/68 | 208900.0_137570.0,monthly,50,"1987-06-01 00:00:00+00:00, 1987-07-01 00:00:00+00:00, 1987-08-01 00:00:00+00:00, 1987-09-01 00:00:00+00:00, 1987-10-01 00:00:00+00:00"
208900.0_137571.0,405/69 | 208900.0_137571.0,monthly,50,"1987-06-01 00:00:00+00:00, 1987-07-01 00:00:00+00:00, 1987-08-01 00:00:00+00:00, 1987-09-01 00:00:00+00:00, 1987-10-01 00:00:00+00:00"
210180.0_147100.0,405/15 | 210180.0_147100.0,monthly,121,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
210220.0_147150.0,405/14 | 210220.0_147150.0,monthly,0,
210460.0_134950.0,404/53 | 210460.0_134950.0,35.0d,136,"1980-02-01 00:00:00+00:00, 1980-03-01 00:00:00+00:00, 1980-04-01 00:00:00+00:00, 1980-05-01 00:00:00+00:00, 1980-06-01 00:00:00+00:00"
210725.0_147550.0,405/167 | 210725.0_147550.0,monthly,255,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
210870.0_134850.0,404/69 | 210870.0_134850.0,monthly,313,"1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00, 1981-04-01 00:00:00+00:00, 1981-08-01 00:00:00+00:00"
211220.0_139561.0,405/34 | 211220.0_139561.0,32.0d,323,"1979-11-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-01-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00"
212500.0_152450.0,406/97 | 212500.0_152450.0,monthly,289,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
214800.0_135010.0,404/51 | 214800.0_135010.0,34.0d,136,"1980-02-01 00:00:00+00:00, 1980-03-01 00:00:00+00:00, 1980-04-01 00:00:00+00:00, 1980-05-01 00:00:00+00:00, 1980-06-01 00:00:00+00:00"
216200.0_153550.0,406/27 | 216200.0_153550.0,monthly,289,"2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00, 2001-05-01 00:00:00+00:00"
217820.0_133940.0,404/61 | 217820.0_133940.0,42.0d,157,"1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00, 1978-07-01 00:00:00+00:00, 1978-08-01 00:00:00+00:00, 1978-09-01 00:00:00+00:00"
217840.0_133890.0,404/62 | 217840.0_133890.0,35.5d,57,"1978-02-01 00:00:00+00:00, 1978-03-01 00:00:00+00:00, 1978-04-01 00:00:00+00:00, 1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00"
218110.0_148760.0,405/52 | 218110.0_148760.0,56.0d,349,"1974-11-01 00:00:00+00:00, 1974-12-01 00:00:00+00:00, 1975-01-01 00:00:00+00:00, 1975-02-01 00:00:00+00:00, 1975-03-01 00:00:00+00:00"
218350.0_148770.0,405/51 | 218350.0_148770.0,34.0d,174,"1979-11-01 00:00:00+00:00, 1979-12-01 00:00:00+00:00, 1980-01-01 00:00:00+00:00, 1980-02-01 00:00:00+00:00, 1980-03-01 00:00:00+00:00"
