site_id,site_label,y_m,x_m,n_obs,first_date,last_date,mean_piezometric_level,freq_label,missing_count,missing_first_5
181651.8_127393.1,443/924 | 181651.8_127393.1,181651.8,127393.1,534,1999-12-01 00:00:00+00:00,2025-01-03 00:00:00+00:00,6.843539,daily,8632,"1999-12-02 00:00:00+00:00, 1999-12-03 00:00:00+00:00, 1999-12-04 00:00:00+00:00, 1999-12-05 00:00:00+00:00, 1999-12-06 00:00:00+00:00"
182086.3_140865.0,444/85 | 182086.3_140865.0,182086.3,140865.0,155,2001-01-01 00:00:00+00:00,2019-03-01 00:00:00+00:00,29.440453,monthly,208,"2001-07-01 00:00:00+00:00, 2001-08-01 00:00:00+00:00, 2001-09-01 00:00:00+00:00, 2001-10-01 00:00:00+00:00, 2001-11-01 00:00:00+00:00"
183790.2_146361.6,444/317 | 183790.2_146361.6,183790.2,146361.6,505,1999-12-01 00:00:00+00:00,2025-01-10 00:00:00+00:00,16.4939,daily,8668,"1999-12-02 00:00:00+00:00, 1999-12-03 00:00:00+00:00, 1999-12-04 00:00:00+00:00, 1999-12-05 00:00:00+00:00, 1999-12-06 00:00:00+00:00"
183830.0_146440.0,444/318 | 183830.0_146440.0,183830.0,146440.0,59,2005-05-23 00:00:00+00:00,2011-11-07 00:00:00+00:00,21.083897,31.5d,76,"2005-06-01 00:00:00+00:00, 2005-07-01 00:00:00+00:00, 2005-08-01 00:00:00+00:00, 2005-09-01 00:00:00+00:00, 2005-10-01 00:00:00+00:00"
190187.4_133281.5,432/855 | 190187.4_133281.5,190187.4,133281.5,178,2003-05-14 00:00:00+00:00,2025-01-10 00:00:00+00:00,11.44809,monthly,256,"2003-06-01 00:00:00+00:00, 2003-07-01 00:00:00+00:00, 2003-08-01 00:00:00+00:00, 2003-09-01 00:00:00+00:00, 2003-10-01 00:00:00+00:00"
192605.4_164378.1,434/306 | 192605.4_164378.1,192605.4,164378.1,2202,2003-05-18 00:00:00+00:00,2023-05-10 00:00:00+00:00,30.788197,daily,5096,"2003-05-19 00:00:00+00:00, 2003-05-20 00:00:00+00:00, 2003-05-21 00:00:00+00:00, 2003-05-22 00:00:00+00:00, 2003-05-23 00:00:00+00:00"
192932.0_140560.5,433/297 | 192932.0_140560.5,192932.0,140560.5,142,2003-05-13 00:00:00+00:00,2020-05-19 00:00:00+00:00,14.512676,32.0d,202,"2003-06-01 00:00:00+00:00, 2003-07-01 00:00:00+00:00, 2003-08-01 00:00:00+00:00, 2003-09-01 00:00:00+00:00, 2003-10-01 00:00:00+00:00"
193570.0_131190.0,432/77 | 193570.0_131190.0,193570.0,131190.0,100,1978-09-01 00:00:00+00:00,2001-09-26 00:00:00+00:00,-8.201099,monthly,179,"1979-04-01 00:00:00+00:00, 1979-11-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-01-01 00:00:00+00:00"
193590.0_131160.0,432/73 | 193590.0_131160.0,193590.0,131160.0,102,1978-02-14 00:00:00+00:00,1994-05-12 00:00:00+00:00,26.112059,43.0d,194,"1978-03-01 00:00:00+00:00, 1978-04-01 00:00:00+00:00, 1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00, 1978-07-01 00:00:00+00:00"
194088.8_135603.2,432/800 | 194088.8_135603.2,194088.8,135603.2,204,1999-12-01 00:00:00+00:00,2023-06-23 00:00:00+00:00,8.480196,monthly,262,"2001-07-01 00:00:00+00:00, 2001-08-01 00:00:00+00:00, 2001-09-01 00:00:00+00:00, 2001-10-01 00:00:00+00:00, 2001-11-01 00:00:00+00:00"
