year,month,piezometric_level_m
1974,10,26.67
1977,9,20.203333
1977,10,20.07
1977,11,20.1525
1977,12,20.446667
1978,1,13.41
1978,2,19.929998
1978,3,12.18
1978,4,8.625555
1978,5,8.764445
1978,6,8.797778
1978,7,8.595555
1978,8,6.373333
1978,9,7.7111106
1978,10,6.939
1978,11,5.9900002
1978,12,8.073334
1979,1,7.471667
1979,2,14.303333
1979,3,14.597
1979,4,11.246
1979,5,11.524445
1979,6,10.137647
1979,7,8.762352
1979,8,9.85158
1979,9,9.615789
1979,10,9.372
1979,12,11.195455
1980,1,9.89
1980,2,8.991304
1980,3,9.4044
1980,4,9.7352
1980,5,10.961667
1980,6,5.934
1980,7,8.085384
1980,8,19.586666
1980,9,5.96
1980,10,27.36
1980,11,7.7791305
1980,12,4.704
1981,1,6.315625
1981,2,11.8825
1981,3,8.081364
1981,4,12.5425005
1981,5,8.16
1981,6,9.015
1981,7,6.644444
1981,9,6.1666665
1981,10,6.3763638
1981,11,9.085714
1981,12,6.1377273
1982,1,8.126249
1982,3,10.871579
1982,4,7.937619
1982,5,9.5885
1982,9,5.3881254
1982,10,6.5369997
1982,11,9.538
1982,12,7.7666664
1983,1,-1.0533334
1983,2,1.9620003
1983,3,-5.932857
1983,7,-3.3040001
1983,8,-14.37
1983,9,0.8033333
1983,10,-16.35
1983,11,5.830625
1983,12,9.4925
1984,1,15.05
1984,2,14.583889
1984,3,13.117334
1984,4,13.0886965
1984,5,16.028
1984,6,12.961176
1984,7,14.312632
1984,8,79.17
1984,9,31.485
1984,10,11.872941
1984,11,13.4564705
1984,12,9.699091
1985,1,20.218182
1985,2,16.11
1985,3,15.517333
1985,4,12.575
1985,5,13.587333
1985,7,8.565556
1985,8,6.153333
1985,9,14.6425
1985,10,11.902001
1985,11,12.651334
1985,12,32.164997
1986,1,9.927222
1986,2,9.839999
1986,3,12.8595
1986,4,10.0245
1986,5,9.399445
1986,6,12.015715
1986,7,10.06353
1986,8,31.910002
1986,9,9.759473
1986,10,9.294783
1986,11,9.064445
1986,12,10.89
1987,1,12.037368
1987,2,28.386667
1987,3,8.077692
1987,4,-11.92
1987,5,6.697391
1987,6,7.3809524
1987,7,16.712223
1987,8,3.6669998
1987,9,4.6405554
1987,10,12.0828
1987,11,9.168096
1987,12,9.545882
1988,1,13.379047
1988,2,6.6689997
1988,3,11.619259
1988,4,1.53
1988,5,11.038636
1988,6,14.326666
1988,7,15.209475
1988,8,10.2519045
1988,9,9.907895
1988,10,8.448696
1988,11,8.238334
1988,12,23.475
1989,1,10.00963
1989,2,11.90375
1989,3,12.334762
1989,4,9.993703
1989,5,11.824761
1989,6,10.835909
1989,7,12.807273
1989,8,8.130527
1989,9,10.785714
1989,10,8.3604
1989,11,9.977408
1989,12,8.446667
1990,1,13.8205
1990,2,14.198518
1990,3,10.226296
1990,4,12.3665
1990,5,9.305555
1990,6,13.262382
1990,7,10.410001
1990,8,9.894347
1990,9,10.058888
1990,10,9.20125
1990,11,12.548749
1990,12,12.742857
1991,1,10.076249
1991,2,11.143703
1991,3,12.994546
1991,4,10.647727
1991,5,11.273182
1991,6,10.381923
1991,7,9.1258335
1991,8,38.925
1991,9,16.472353
1991,10,14.056153
1991,11,-0.13
1991,12,14.911333
1992,1,16.769413
1992,2,17.134615
1992,3,16.434668
1992,4,15.828572
1992,5,17.416428
1992,6,14.568889
1992,7,13.457143
1992,8,38.285
1992,9,12.347334
1992,10,38.18
1992,11,37.9725
1992,12,11.39
1993,1,14.236471
1993,2,14.527333
1993,3,23.63625
1993,4,23.387142
1993,5,31.486666
1993,6,21.786
1993,7,19.006666
1993,8,13.348332
1993,9,17.836874
1993,10,17.934444
1993,11,15.373334
1993,12,31.756
1994,1,18.633333
1994,2,24.574999
1994,3,13.025
1994,4,23.844284
1994,5,26.242
1999,12,11.406667
2000,1,12.493031
2000,2,11.825143
2000,3,11.784572
2000,4,12.359706
2000,5,12.259428
2000,6,11.410605
2000,7,10.426562
2000,8,9.1328125
2000,9,8.817187
2000,10,10.454839
2000,11,10.580646
2000,12,12.802258
2001,1,14.370476
2001,2,14.393571
2001,3,13.5652
2001,4,16.319166
2001,5,14.366667
2001,6,14.891001
2001,7,11.296666
2001,8,13.264001
2001,9,14.176666
2001,10,-3.86
2001,11,-3.85
2001,12,-2.52
2002,1,-2.42
2002,3,-2.5
2002,4,12.999046
2002,5,12.755
2002,6,11.43625
2002,7,12.051819
2002,10,-3.67
2002,12,18.991001
2003,1,18.151817
2003,2,21.826666
2003,3,21.446129
2003,4,16.361183
2003,5,15.947071
2003,6,14.8724
2003,7,17.062963
2003,8,15.570357
2003,9,16.635555
2003,10,17.35107
2003,11,16.477777
2003,12,0.66
2004,1,19.014816
2004,2,22.726665
2004,3,20.455
2004,4,23.244284
2004,5,22.023333
2004,6,23.2725
2004,7,11.0515585
2004,8,10.668585
2004,9,11.713461
2004,10,11.375408
2004,11,12.493125
2004,12,12.846364
2005,1,12.66219
