site_id,site_label,freq_label,missing_count,missing_first_5
172472.16_123280.21,22C/02UG | 172472.16_123280.21,daily,752,"2010-10-01, 2010-10-02, 2010-10-03, 2010-10-04, 2010-10-05"
172723.42_168271.45,22G/01UG | 172723.42_168271.45,daily,447,"2012-10-01, 2012-10-02, 2012-10-03, 2012-10-04, 2012-10-05"
179501.4_151088.38,22E/01UG | 179501.4_151088.38,daily,447,"2012-10-01, 2012-10-02, 2012-10-03, 2012-10-04, 2012-10-05"
179748.0_157884.0,22F/03C | 179748.0_157884.0,daily,447,"2012-10-01, 2012-10-02, 2012-10-03, 2012-10-04, 2012-10-05"
188713.0_106897.0,22B/01C | 188713.0_106897.0,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
188717.0_170849.08,21G/01UG | 188717.0_170849.08,daily,447,"2012-10-01, 2012-10-02, 2012-10-03, 2012-10-04, 2012-10-05"
198202.0_113140.0,21C/02G | 198202.0_113140.0,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
198697.02_128747.74,21D/01UG | 198697.02_128747.74,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
200405.72_157106.89,21F/01UG | 200405.72_157106.89,daily,0,
201764.0_98416.0,21B/10G | 201764.0_98416.0,daily,0,
201859.52_88818.49,21A/13G | 201859.52_88818.49,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
203397.94_114863.48,21C/01U | 203397.94_114863.48,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
206512.92_170359.23,21G/03G | 206512.92_170359.23,daily,0,
206775.22_105321.3,21B/11UG | 206775.22_105321.3,daily,0,
208747.1_166846.6,20F/02G | 208747.1_166846.6,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
208796.0_114090.0,20C/01C | 208796.0_114090.0,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
210459.81_146793.0,20E/02UG | 210459.81_146793.0,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
213881.78_106852.38,20B/03C | 213881.78_106852.38,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
218371.0_119174.0,20C/04UG | 218371.0_119174.0,daily,0,
219895.0_129387.0,20D/01C | 219895.0_129387.0,daily,752,"2010-10-01, 2010-10-02, 2010-10-03, 2010-10-04, 2010-10-05"
220778.0_107301.0,20B/06UG | 220778.0_107301.0,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
220951.0_112953.0,20C/03G | 220951.0_112953.0,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
222023.0_166123.0,20F/01UG | 222023.0_166123.0,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
224830.0_151370.0,20E/01C | 224830.0_151370.0,daily,0,
225377.06_172836.2,20G/01UG | 225377.06_172836.2,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
232667.06_123930.83,19C/10U | 232667.06_123930.83,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
233292.0_171477.0,19G/02UG | 233292.0_171477.0,daily,1301,"2011-04-03, 2011-04-04, 2011-04-05, 2011-04-06, 2011-04-07"
236023.0_122470.0,19C/08C | 236023.0_122470.0,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
236579.55_115316.05,19C/07G | 236579.55_115316.05,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
236628.66_119450.62,19C/13C | 236628.66_119450.62,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
237501.0_149977.0,19E/01UG | 237501.0_149977.0,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
238512.0_125981.0,19D/02UG | 238512.0_125981.0,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
238706.0_181073.0,19G/01UG | 238706.0_181073.0,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
239794.69_114629.92,19C/05U | 239794.69_114629.92,daily,632,"2013-05-05, 2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09"
241737.3_168665.78,19G/03C | 241737.3_168665.78,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
241796.56_117798.21,19C/04C | 241796.56_117798.21,daily,386,"2010-03-17, 2010-07-25, 2010-07-26, 2010-07-27, 2010-07-28"
241953.1_124089.55,19C/03G | 241953.1_124089.55,daily,1206,"2010-01-29, 2010-01-30, 2010-01-31, 2010-02-01, 2010-02-02"
244067.6_139383.98,19E/03UG | 244067.6_139383.98,daily,1820,"2010-04-14, 2010-04-15, 2010-04-16, 2010-04-17, 2010-04-18"
246011.0_170407.0,18G/03UC | 246011.0_170407.0,daily,1041,"2010-03-17, 2010-03-18, 2010-03-19, 2010-03-20, 2010-03-21"
249438.0_158139.0,18F/01UG | 249438.0_158139.0,daily,784,"2010-03-10, 2010-03-11, 2010-05-19, 2010-05-20, 2010-08-25"
