latitude,longitude,n_obs,first_date,last_date,temp_mean_avg
38.35,-8.75,3834,2014-01-01,2024-06-30,18.082722
38.35,-8.65,3834,2014-01-01,2024-06-30,17.931276
38.35,-8.55,3834,2014-01-01,2024-06-30,17.967001
38.35,-8.45,3834,2014-01-01,2024-06-30,17.882246
38.35,-8.35,3834,2014-01-01,2024-06-30,17.815805
38.35,-8.25,3834,2014-01-01,2024-06-30,17.645624
38.45,-9.15,3834,2014-01-01,2024-06-30,17.561913
38.45,-9.05,3834,2014-01-01,2024-06-30,17.376312
38.45,-8.75,3834,2014-01-01,2024-06-30,18.083933
38.45,-8.65,3834,2014-01-01,2024-06-30,17.94007
38.45,-8.55,3834,2014-01-01,2024-06-30,17.851698
38.45,-8.45,3834,2014-01-01,2024-06-30,17.78778
38.45,-8.35,3834,2014-01-01,2024-06-30,17.69831
38.45,-8.25,3834,2014-01-01,2024-06-30,17.36687
38.55,-9.15,3834,2014-01-01,2024-06-30,17.772703
38.55,-9.05,3834,2014-01-01,2024-06-30,17.735926
38.55,-8.95,3834,2014-01-01,2024-06-30,17.630232
38.55,-8.85,3834,2014-01-01,2024-06-30,17.944902
38.55,-8.75,3834,2014-01-01,2024-06-30,18.010256
38.55,-8.65,3834,2014-01-01,2024-06-30,17.822956
38.55,-8.55,3834,2014-01-01,2024-06-30,17.785257
38.55,-8.45,3834,2014-01-01,2024-06-30,17.609327
38.55,-8.35,3834,2014-01-01,2024-06-30,17.219107
38.55,-8.25,3834,2014-01-01,2024-06-30,17.087185
38.65,-9.15,3834,2014-01-01,2024-06-30,17.821241
38.65,-9.05,3834,2014-01-01,2024-06-30,17.899206
38.65,-8.95,3834,2014-01-01,2024-06-30,17.879335
38.65,-8.85,3834,2014-01-01,2024-06-30,17.927305
38.65,-8.75,3834,2014-01-01,2024-06-30,17.854584
38.65,-8.65,3834,2014-01-01,2024-06-30,17.734083
38.65,-8.55,3834,2014-01-01,2024-06-30,17.602163
38.65,-8.45,3834,2014-01-01,2024-06-30,17.485388
38.65,-8.35,3834,2014-01-01,2024-06-30,17.252972
38.65,-8.25,3834,2014-01-01,2024-06-30,17.048037
38.75,-9.45,3834,2014-01-01,2024-06-30,16.977316
38.75,-9.35,3834,2014-01-01,2024-06-30,17.180439
38.75,-9.25,3834,2014-01-01,2024-06-30,17.269865
38.75,-9.15,3834,2014-01-01,2024-06-30,17.60634
38.75,-8.95,3834,2014-01-01,2024-06-30,17.903963
38.75,-8.85,3834,2014-01-01,2024-06-30,17.90715
38.75,-8.75,3834,2014-01-01,2024-06-30,17.790348
38.75,-8.65,3834,2014-01-01,2024-06-30,17.683285
38.75,-8.55,3834,2014-01-01,2024-06-30,17.64203
38.75,-8.45,3834,2014-01-01,2024-06-30,17.570644
38.75,-8.35,3834,2014-01-01,2024-06-30,17.39472
38.75,-8.25,3834,2014-01-01,2024-06-30,17.17451
38.85,-9.45,3834,2014-01-01,2024-06-30,17.212505
38.85,-9.35,3834,2014-01-01,2024-06-30,17.046097
38.85,-9.25,3834,2014-01-01,2024-06-30,16.697426
38.85,-9.15,3834,2014-01-01,2024-06-30,17.35582
38.85,-9.05,3834,2014-01-01,2024-06-30,17.725105
38.85,-8.95,3834,2014-01-01,2024-06-30,17.924389
38.85,-8.85,3834,2014-01-01,2024-06-30,17.877516
38.85,-8.75,3834,2014-01-01,2024-06-30,17.801949
38.85,-8.65,3834,2014-01-01,2024-06-30,17.7007
38.85,-8.55,3834,2014-01-01,2024-06-30,17.60729
38.85,-8.45,3834,2014-01-01,2024-06-30,17.518803
38.85,-8.35,3834,2014-01-01,2024-06-30,17.441364
38.85,-8.25,3834,2014-01-01,2024-06-30,17.482939
38.95,-9.35,3834,2014-01-01,2024-06-30,17.007854
38.95,-9.25,3834,2014-01-01,2024-06-30,16.741035
38.95,-9.15,3834,2014-01-01,2024-06-30,16.647392
38.95,-9.05,3834,2014-01-01,2024-06-30,17.117794
38.95,-8.95,3834,2014-01-01,2024-06-30,17.84178
38.95,-8.85,3834,2014-01-01,2024-06-30,17.86457
38.95,-8.75,3834,2014-01-01,2024-06-30,17.793032
38.95,-8.65,3834,2014-01-01,2024-06-30,17.720964
38.95,-8.55,3834,2014-01-01,2024-06-30,17.74352
38.95,-8.45,3834,2014-01-01,2024-06-30,17.738531
38.95,-8.35,3834,2014-01-01,2024-06-30,17.625042
38.95,-8.25,3834,2014-01-01,2024-06-30,17.567278
39.05,-9.35,3834,2014-01-01,2024-06-30,17.382717
39.05,-9.25,3834,2014-01-01,2024-06-30,17.148798
39.05,-9.15,3834,2014-01-01,2024-06-30,16.865234
39.05,-9.05,3834,2014-01-01,2024-06-30,17.040274
39.05,-8.95,3834,2014-01-01,2024-06-30,17.579817
39.05,-8.85,3834,2014-01-01,2024-06-30,17.684517
39.05,-8.75,3834,2014-01-01,2024-06-30,17.69219
39.05,-8.65,3834,2014-01-01,2024-06-30,17.527636
39.05,-8.55,3834,2014-01-01,2024-06-30,17.399956
39.05,-8.45,3834,2014-01-01,2024-06-30,17.285122
39.05,-8.35,3834,2014-01-01,2024-06-30,17.32415
39.05,-8.25,3834,2014-01-01,2024-06-30,17.31388
39.15,-9.35,3834,2014-01-01,2024-06-30,17.325602
39.15,-9.25,3834,2014-01-01,2024-06-30,17.272604
39.15,-9.15,3834,2014-01-01,2024-06-30,16.866158
39.15,-9.05,3834,2014-01-01,2024-06-30,16.808243
39.15,-8.95,3834,2014-01-01,2024-06-30,17.24049
39.15,-8.85,3834,2014-01-01,2024-06-30,17.277155
39.15,-8.75,3834,2014-01-01,2024-06-30,17.618208
39.15,-8.65,3834,2014-01-01,2024-06-30,17.583124
39.15,-8.55,3834,2014-01-01,2024-06-30,17.341629
39.15,-8.45,3834,2014-01-01,2024-06-30,17.238739
39.15,-8.35,3834,2014-01-01,2024-06-30,17.131884
39.15,-8.25,3834,2014-01-01,2024-06-30,17.045343
39.25,-9.25,3834,2014-01-01,2024-06-30,17.076862
39.25,-9.15,3834,2014-01-01,2024-06-30,17.197346
39.25,-9.05,3834,2014-01-01,2024-06-30,16.887245
39.25,-8.95,3834,2014-01-01,2024-06-30,17.076525
39.25,-8.85,3834,2014-01-01,2024-06-30,17.216099
39.25,-8.75,3834,2014-01-01,2024-06-30,17.36026
39.25,-8.65,3834,2014-01-01,2024-06-30,17.536016
39.25,-8.55,3834,2014-01-01,2024-06-30,17.366861
39.25,-8.45,3834,2014-01-01,2024-06-30,17.047085
39.25,-8.35,3834,2014-01-01,2024-06-30,16.990747
39.25,-8.25,3834,2014-01-01,2024-06-30,16.94031
39.35,-9.25,3834,2014-01-01,2024-06-30,17.078165
39.35,-9.15,3834,2014-01-01,2024-06-30,17.01682
39.35,-9.05,3834,2014-01-01,2024-06-30,16.89302
39.35,-8.95,3834,2014-01-01,2024-06-30,16.762684
39.35,-8.85,3834,2014-01-01,2024-06-30,17.064428
39.35,-8.75,3834,2014-01-01,2024-06-30,16.95716
39.35,-8.65,3834,2014-01-01,2024-06-30,17.251278
39.35,-8.55,3834,2014-01-01,2024-06-30,17.483778
39.35,-8.45,3834,2014-01-01,2024-06-30,17.138546
39.35,-8.35,3834,2014-01-01,2024-06-30,16.871393
39.35,-8.25,3834,2014-01-01,2024-06-30,16.824379
39.45,-9.15,3834,2014-01-01,2024-06-30,17.13943
39.45,-9.05,3834,2014-01-01,2024-06-30,16.794222
39.45,-8.95,3834,2014-01-01,2024-06-30,16.069838
39.45,-8.85,3834,2014-01-01,2024-06-30,16.010244
39.45,-8.75,3834,2014-01-01,2024-06-30,16.446566
39.45,-8.65,3834,2014-01-01,2024-06-30,16.899803
39.45,-8.55,3834,2014-01-01,2024-06-30,17.1466
39.45,-8.45,3834,2014-01-01,2024-06-30,17.222698
39.45,-8.35,3834,2014-01-01,2024-06-30,16.994728
39.45,-8.25,3834,2014-01-01,2024-06-30,17.06292
39.55,-9.05,3834,2014-01-01,2024-06-30,16.861498
39.55,-8.95,3834,2014-01-01,2024-06-30,16.558903
39.55,-8.85,3834,2014-01-01,2024-06-30,15.3486805
39.55,-8.75,3834,2014-01-01,2024-06-30,15.306247
39.55,-8.65,3834,2014-01-01,2024-06-30,15.513516
39.55,-8.55,3834,2014-01-01,2024-06-30,16.691753
39.55,-8.45,3834,2014-01-01,2024-06-30,16.92965
39.55,-8.35,3834,2014-01-01,2024-06-30,16.781141
39.55,-8.25,3834,2014-01-01,2024-06-30,16.507788
39.65,-9.05,3834,2014-01-01,2024-06-30,16.71436
39.65,-8.95,3834,2014-01-01,2024-06-30,16.575916
39.65,-8.85,3834,2014-01-01,2024-06-30,16.435942
39.65,-8.75,3834,2014-01-01,2024-06-30,15.610237
39.65,-8.65,3834,2014-01-01,2024-06-30,15.8260355
39.65,-8.55,3834,2014-01-01,2024-06-30,16.28827
39.65,-8.45,3834,2014-01-01,2024-06-30,16.54621
39.65,-8.35,3834,2014-01-01,2024-06-30,16.258375
39.65,-8.25,3834,2014-01-01,2024-06-30,16.336256
