year,month,temp_max_c,temp_min_c,temp_mean_c
2014,1,14.761547,8.724706,11.743127
2014,2,14.850477,7.4884853,11.169481
2014,3,18.102287,8.504741,13.303514
2014,4,20.700525,11.193668,15.947096
2014,5,24.478743,12.520636,18.49969
2014,6,26.029812,14.971016,20.500414
2014,7,28.529856,16.202692,22.366276
2014,8,28.920448,16.595913,22.75818
2014,9,26.349304,17.088366,21.718834
2014,10,24.53966,15.6270075,20.083334
2014,11,17.797445,11.201183,14.499315
2014,12,14.544968,5.9899282,10.267448
2015,1,14.5446825,5.067862,9.8062725
2015,2,14.337482,6.474424,10.405952
2015,3,19.325022,8.409646,13.867334
2015,4,21.798517,11.450947,16.624733
2015,5,26.702784,13.754496,20.22864
2015,6,29.472185,15.493048,22.482616
2015,7,29.99253,16.912937,23.452734
2015,8,29.651043,16.525198,23.088121
2015,9,26.805758,14.58491,20.695333
2015,10,22.20621,14.419208,18.312708
2015,11,19.860987,10.592013,15.2265
2015,12,17.229267,9.184062,13.206664
2016,1,16.438482,8.870449,12.654466
2016,2,15.860137,7.9735074,11.916822
2016,3,17.16127,7.4398975,12.300584
2016,4,19.503065,9.935464,14.719265
2016,5,22.348804,12.032213,17.190508
2016,6,27.981524,15.134527,21.558025
2016,7,32.99286,17.19354,25.0932
2016,8,33.095787,17.509886,25.302837
2016,9,30.207327,15.8180065,23.012667
2016,10,24.919657,13.6731415,19.296398
2016,11,18.55068,9.527082,14.038881
2016,12,16.45144,7.906814,12.179128
2017,1,15.000716,5.0320063,10.016361
2017,2,16.961296,8.434579,12.697937
2017,3,19.255644,9.154816,14.20523
2017,4,24.785198,11.546908,18.166052
2017,5,26.52202,13.846183,20.184103
2017,6,30.356836,16.391403,23.374119
2017,7,30.66632,16.561752,23.614037
2017,8,31.727537,16.580393,24.153967
2017,9,28.851727,14.476414,21.66407
2017,10,28.379257,14.472818,21.426037
2017,11,19.81915,9.527294,14.673223
2017,12,15.936695,6.567373,11.252034
2018,1,15.632627,6.583148,11.107887
2018,2,15.798625,6.0051746,10.9019
2018,3,16.273392,8.232171,12.252782
2018,4,19.761076,9.894595,14.827835
2018,5,23.213015,11.868137,17.540577
2018,6,25.785263,15.048454,20.416859
2018,7,27.355629,16.36191,21.85877
2018,8,33.67557,17.845345,25.760456
2018,9,31.918894,17.24259,24.580742
2018,10,24.599457,13.2309675,18.91521
2018,11,17.474474,9.528528,13.5015
2018,12,16.60081,7.7555704,12.17819
2019,1,15.345401,5.5845585,10.464979
2019,2,18.227385,7.218456,12.722919
2019,3,20.812668,8.938676,14.875672
2019,4,20.043373,9.774897,14.909134
2019,5,26.504461,13.640227,20.072344
2019,6,25.937813,13.511269,19.72454
2019,7,29.247658,16.628456,22.938057
2019,8,30.448112,16.727343,23.587729
2019,9,29.936964,16.04639,22.991678
2019,10,24.187517,13.234547,18.711031
2019,11,17.399597,11.169202,14.284399
2019,12,16.69909,9.361686,13.030388
2020,1,15.257035,7.2349696,11.246003
2020,2,19.278429,9.114961,14.196695
2020,3,19.498976,9.614191,14.556583
2020,4,19.99465,10.836924,15.415787
2020,5,26.787447,13.749214,20.26833
2020,6,26.99036,14.191983,20.591173
2020,7,34.208595,17.305157,25.756876
2020,8,30.938839,17.109694,24.024265
2020,9,30.316607,16.644812,23.480707
2020,10,23.085653,12.11058,17.598118
2020,11,19.696848,11.202609,15.449729
2020,12,15.848538,6.85927,11.353905
2021,1,14.086147,4.3429723,9.21456
2021,2,16.865398,9.053438,12.959418
2021,3,19.87263,7.882545,13.877587
2021,4,21.767475,11.151882,16.459679
2021,5,23.480959,9.600525,16.540741
2021,6,26.880735,12.752538,19.816637
2021,7,28.873503,14.1332855,21.503395
2021,8,30.351439,14.57111,22.461275
2021,9,27.661554,14.998641,21.330097
2021,10,25.170732,13.292756,19.231745
2021,11,18.461018,5.753637,12.107327
2021,12,17.341612,8.223368,12.78249
2022,1,17.131744,5.4498353,11.29079
2022,2,18.917751,6.133823,12.525787
2022,3,17.566236,8.235359,12.900799
2022,4,19.873732,8.677514,14.275624
2022,5,26.81226,12.278406,19.545334
2022,6,27.314503,13.447331,20.380917
2022,7,33.649136,15.654187,24.65166
2022,8,30.569212,14.660639,22.614925
2022,9,26.98463,15.324393,21.154512
2022,10,25.252691,15.749907,20.501299
2022,11,19.267935,10.003142,14.635539
2022,12,17.414679,10.460734,13.937706
2023,1,15.325989,5.301112,10.313551
2023,2,17.057068,5.36901,11.213038
2023,3,20.024387,7.9796414,14.002014
2023,4,24.707478,9.790158,17.248817
2023,5,25.32158,11.361121,18.34135
2023,6,29.155127,15.685487,22.420307
2023,7,30.406246,14.486925,22.446587
2023,8,33.246838,18.958263,26.10255
2023,9,27.962301,14.543457,21.252878
2023,10,25.607393,13.685095,19.646244
2023,11,19.245192,11.192306,15.218748
2023,12,16.062784,6.314467,11.188624
2024,1,17.289377,8.04436,12.666868
2024,2,18.528685,8.33249,13.430587
2024,3,18.172678,8.15058,13.16163
2024,4,22.72726,9.749002,16.238132
2024,5,23.66168,10.3406515,17.001165
2024,6,26.537638,13.715367,20.126503
