k,codigo,h,mae
0,330/183,1,0.12239490509033213
0,330/183,2,0.06320075988769536
0,330/183,3,0.24102198600769054
0,330/183,4,0.29863770008087154
0,330/183,5,0.6577422523498535
0,330/183,12,0.12104847908020022
0,331/2,1,0.23785064697265668
0,331/2,3,0.28764360427856417
0,331/2,4,0.6342237281799319
0,331/2,5,0.315604381561279
0,331/2,7,0.4564725685119626
0,331/2,8,1.1889710712432864
0,331/2,9,0.48661573410034187
0,331/2,10,0.4557059574127198
0,331/2,11,0.8675603485107422
0,331/2,12,0.6536119079589842
0,341/17,1,0.603852081298828
0,341/17,2,0.3425283432006836
0,341/17,3,0.036652374267578836
0,341/17,4,0.08642524719238232
0,341/17,5,0.4512102127075188
0,341/17,6,0.8027905464172367
0,341/17,7,0.656645984649658
0,341/17,8,0.6448038101196287
0,341/17,9,0.797794170379639
0,341/17,10,0.6091640853881835
0,341/17,11,0.48237430572509776
0,341/17,12,0.09435214996337926
0,342/78,1,4.504012479782104
0,342/78,2,2.1891097164154054
0,342/78,3,0.9484725379943848
0,342/78,4,1.1614413261413574
0,342/78,5,0.7205506515502931
0,342/78,6,0.1513114786148071
0,342/78,7,0.16961505413055422
0,342/78,8,0.994999008178711
0,342/78,9,0.990817222595215
0,342/78,10,1.5126991343498228
0,342/78,11,1.470510721206665
0,342/78,12,2.8621789264678954
0,342/97,1,0.7086797142028809
0,342/97,2,0.09535585403442415
0,342/97,3,0.4635412216186525
0,342/97,4,0.2476722908020017
0,342/97,5,0.9790204048156737
0,342/97,6,1.3386777114868167
0,342/97,7,0.4188729858398439
0,342/97,8,1.1350170707702638
0,342/97,9,0.6873446083068844
0,342/97,10,1.4873443412780762
0,342/97,11,1.12366174697876
0,342/97,12,1.6574315643310547
0,377/54,1,0.9016227722167969
0,377/54,2,3.384614944458008
0,377/54,3,0.08941440582275373
0,377/54,4,0.9904915809631349
0,377/54,5,0.984698009490967
0,377/54,6,0.6574436092376708
0,377/54,7,0.3132109165191652
0,377/54,8,0.7007867336273192
0,377/54,9,0.12023587226867694
0,377/54,10,0.7702152252197267
0,377/54,11,1.1032599449157718
0,377/54,12,2.902759208679199
0,377/84,1,0.07709354400634805
0,377/84,2,0.45837703704834
0,377/84,3,0.1905515480041502
0,377/84,4,0.6880556106567379
0,377/84,5,0.9832744598388672
0,377/84,6,2.847904777526855
0,377/84,7,1.9930303573608406
0,377/84,8,1.7607599258422848
0,377/84,9,0.9173677444458006
0,377/84,10,0.28599910736083967
0,377/84,11,1.3760170936584473
0,377/84,12,0.030800819396972656
0,377/86,1,0.17705102920532223
0,377/86,2,0.2930694198608399
0,377/86,3,0.8086499977111816
0,377/86,4,0.9420499801635742
0,377/86,5,0.08874179840087848
0,377/86,12,0.07991195678710916
0,377/94,1,0.14289645195007328
0,377/94,2,0.13547857284545906
0,377/94,3,0.26672338485717795
0,377/94,4,0.2998286914825439
0,377/94,5,0.297612943649292
0,377/94,12,0.11778076171875007
0,390/208,1,0.036114749908446875
0,390/208,2,0.5207354164123537
0,390/208,3,0.978526554107666
