codigo,MAE_H1,MAE_H2,MAE_H3,MAE_H4,MAE_H5,MAE_H6,MAE_H7,MAE_H8,MAE_H9,MAE_H10,MAE_H11,MAE_H12,MAE_mean_H
330/183,0.5135,0.6054,0.688,0.7971,0.8778,0.9367,0.9576,0.7951,1.0426,0.7908,0.742,0.9172,0.8053
331/2,0.4077,0.516,0.495,0.4901,0.5172,0.5514,0.5368,0.5294,0.5062,0.5337,0.5112,0.5583,0.5128
341/17,0.2567,0.3595,0.3746,0.4992,0.4671,0.447,0.5083,0.5229,0.5233,0.53,0.5228,0.4964,0.459
342/78,1.4404,1.3147,1.398,1.5509,1.6422,1.6476,1.889,1.3992,1.2223,1.2284,1.2195,1.2468,1.4332
342/97,0.9289,0.5663,0.6371,0.8033,0.9776,0.9743,0.831,0.9647,0.9338,1.0562,0.8196,0.9261,0.8683
377/54,1.1736,1.2347,1.1372,1.4353,1.4639,1.5313,1.2357,1.1894,1.135,1.1823,1.2777,1.3349,1.2776
377/84,0.6663,0.7976,0.7909,0.8197,0.7895,0.8589,0.9645,1.0432,1.0198,0.85,0.9205,0.8983,0.8683
377/86,0.3005,0.3613,0.3721,0.4005,0.3206,0.3503,0.3648,0.3593,0.3517,0.2982,0.3696,0.3355,0.3487
377/94,0.1221,0.1559,0.1776,0.2003,0.2049,0.2142,0.2108,0.2154,0.2125,0.2308,0.2078,0.2223,0.1979
390/208,0.3905,0.4125,0.5232,0.5316,0.4866,0.5275,0.517,0.5469,0.5955,0.525,0.5344,0.4885,0.5066
391/243,0.5915,0.5388,0.6288,0.5659,0.5356,0.4869,0.5452,0.5596,0.5162,0.5287,0.5138,0.5321,0.5453
391/33,0.2763,0.4018,0.501,0.5435,0.6559,0.7069,0.8519,0.8948,1.0187,1.0191,1.1415,1.1561,0.764
391/437,0.1892,0.2174,0.2498,0.262,0.2722,0.2781,0.2783,0.2707,0.2689,0.2621,0.3014,0.3,0.2625
404/69,0.484,0.6154,0.6521,0.6772,0.6608,0.57,0.5586,0.5739,0.5682,0.5255,0.4947,0.5152,0.5746
405/17,0.1087,0.1408,0.1593,0.1793,0.1621,0.1699,0.1757,0.1706,0.1614,0.1746,0.1827,0.1589,0.162
405/34,0.3793,0.337,0.4372,0.5938,0.549,0.5283,0.5201,0.4906,0.4825,0.4739,0.479,0.4427,0.4761
418/15,0.1727,0.2424,0.2538,0.3124,0.3305,0.3559,0.3625,0.3617,0.3572,0.3393,0.3517,0.3672,0.3173
418/4,0.1838,0.1928,0.1835,0.2143,0.2109,0.1927,0.1937,0.2112,0.2249,0.2077,0.2543,0.2319,0.2085
