date,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,nivel
2017-10-01,2017-10-01,377/59,-0.9,4.8,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.8
2017-11-01,2017-11-01,377/59,-0.2,4.1,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.1
2017-12-01,2017-12-01,377/59,-0.2,4.1,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.1
2018-01-02,2018-01-02,377/59,0.93,2.97,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-2.97
2018-02-01,2018-02-01,377/59,1.03,2.87,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-2.87
2018-03-01,2018-03-01,377/59,1.18,2.72,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-2.72
2018-07-02,2018-07-02,377/59,-3.5,7.4,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-7.4
2018-08-01,2018-08-01,377/59,-4.0,7.9,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-7.9
2018-09-03,2018-09-03,377/59,-2.3,6.2,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-6.2
2018-10-01,2018-10-01,377/59,-1.0,4.9,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.9
2018-11-02,2018-11-02,377/59,-0.9,4.8,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.8
2018-12-03,2018-12-03,377/59,-0.5,4.4,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.4
2019-01-02,2019-01-02,377/59,-0.3,4.2,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.2
2019-02-01,2019-02-01,377/59,-0.25,4.15,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.15
2019-03-01,2019-03-01,377/59,1.0,2.9,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-2.9
2019-04-01,2019-04-01,377/59,0.7,3.2,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-3.2
2019-05-01,2019-05-01,377/59,-0.1,4.0,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.0
2019-06-03,2019-06-03,377/59,-1.3,5.2,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-5.2
2019-07-01,2019-07-01,377/59,-1.3,5.2,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-5.2
2019-08-01,2019-08-01,377/59,-1.5,5.4,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-5.4
2019-09-02,2019-09-02,377/59,-2.8,6.7,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-6.7
2019-10-01,2019-10-01,377/59,-0.9,4.8,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.8
2019-11-04,2019-11-04,377/59,-0.3,4.2,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.2
2019-12-02,2019-12-02,377/59,-0.1,4.0,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-4.0
2020-01-02,2020-01-02,377/59,0.9,3.0,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-3.0
2020-02-03,2020-02-03,377/59,1.2,2.7,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-2.7
2020-03-02,2020-03-02,377/59,1.0,2.9,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-2.9
2020-04-01,2020-04-01,377/59,1.1,2.8,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-2.8
2020-05-04,2020-05-04,377/59,1.4,2.5,145228.17,236421.54,3.9,T7 - ALUVIÕES DO TEJO,EM RESERVA,VALADA,-2.5
