"data","codigo","nivel_piezometrico","profundidade_nivel_agua","coord_x_m","coord_y_m","altitude_m","sistema_aquifero","estado","freguesia"
1999-12-01,"330/183","13.18","7.82",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-01-01,"330/183","13.34","7.66",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-02-01,"330/183","13.4","7.6",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-03-01,"330/183","13.54","7.46",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-04-01,"330/183","13.71","7.29",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-05-01,"330/183","14.34","6.66",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-06-01,"330/183","13.5","7.5",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-07-01,"330/183","12.6","8.4",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-08-01,"330/183","11.59","9.41",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-09-01,"330/183","11.3","9.7",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-10-01,"330/183","11.77","9.23",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-11-01,"330/183","11.98","9.02",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2000-12-01,"330/183","19.07","1.93",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2001-03-21,"330/183","20.8","0.2",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2001-06-18,"330/183","16.9","4.1",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2002-04-19,"330/183","14.52","6.48",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2002-05-31,"330/183","13.41","7.59",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2002-06-14,"330/183","12.79","8.21",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2002-07-05,"330/183","11.62","9.38",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2003-07-24,"330/183","13.86","7.14",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2003-08-25,"330/183","12.85","8.15",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2003-09-27,"330/183","11.74","9.26",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2003-10-27,"330/183","21.0","0.0",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2003-11-25,"330/183","21.0","0.0",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2004-01-03,"330/183","20.1","0.9",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2005-02-03,"330/183","17.25","3.75",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2005-04-07,"330/183","20.03","0.97",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2005-05-12,"330/183","16.53","4.47",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2005-06-09,"330/183","15.56","5.44",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2005-07-08,"330/183","14.7","6.3",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2005-08-05,"330/183","13.77","7.23",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2005-09-08,"330/183","12.83","8.17",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-01-09,"330/183","18.17","2.83",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-02-06,"330/183","19.24","1.76",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-03-07,"330/183","19.99","1.01",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-04-06,"330/183","20.05","0.95",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-05-04,"330/183","19.92","1.08",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-06-05,"330/183","19.63","1.37",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-07-07,"330/183","19.43","1.57",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-08-04,"330/183","18.11","2.89",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-09-13,"330/183","20.0","1.0",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-10-12,"330/183","19.84","1.16",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-11-02,"330/183","20.0","1.0",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2006-12-12,"330/183","20.12","0.88",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-01-04,"330/183","20.1","0.9",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-02-05,"330/183","19.96","1.04",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-03-08,"330/183","20.16","0.84",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-04-12,"330/183","20.04","0.96",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-05-08,"330/183","20.06","0.94",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-06-06,"330/183","19.97","1.03",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-07-05,"330/183","19.95","1.05",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-08-09,"330/183","19.89","1.11",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-09-07,"330/183","19.92","1.08",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-10-04,"330/183","19.2","1.8",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-11-07,"330/183","20.06","0.94",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2007-12-06,"330/183","20.03","0.97",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-01-03,"330/183","20.36","0.64",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-02-07,"330/183","19.97","1.03",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-03-05,"330/183","19.9","1.1",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-04-07,"330/183","20.03","0.97",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-05-08,"330/183","19.94","1.06",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-06-05,"330/183","20.06","0.94",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-07-03,"330/183","19.95","1.05",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-08-06,"330/183","19.29","1.71",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-09-04,"330/183","18.04","2.96",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-10-06,"330/183","18.9","2.1",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-11-11,"330/183","17.46","3.54",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2008-12-03,"330/183","18.13","2.87",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-01-12,"330/183","12.58","8.42",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-02-05,"330/183","16.14","4.86",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-03-13,"330/183","11.94","9.06",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-04-08,"330/183","10.86","10.14",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-05-08,"330/183","12.57","8.43",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-06-12,"330/183","11.5","9.5",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-07-09,"330/183","11.11","9.89",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-08-10,"330/183","10.14","10.86",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-09-03,"330/183","9.57","11.43",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-10-09,"330/183","17.08","3.92",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-11-05,"330/183","15.44","5.56",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2009-12-03,"330/183","12.48","8.52",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-01-07,"330/183","19.95","1.05",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-02-04,"330/183","19.52","1.48",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-03-05,"330/183","19.88","1.12",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-04-08,"330/183","19.95","1.05",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-05-06,"330/183","19.84","1.16",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-06-07,"330/183","19.1","1.9",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-07-05,"330/183","18.72","2.28",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-08-10,"330/183","18.0","3.0",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-09-06,"330/183","17.44","3.56",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-10-04,"330/183","20.08","0.92",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-11-05,"330/183","19.88","1.12",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2010-12-07,"330/183","20.17","0.83",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-01-06,"330/183","20.12","0.88",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-02-21,"330/183","20.07","0.93",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-03-21,"330/183","19.96","1.04",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-04-30,"330/183","20.03","0.97",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-05-23,"330/183","19.88","1.12",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-06-27,"330/183","19.32","1.68",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-07-13,"330/183","19.02","1.98",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-08-23,"330/183","18.45","2.55",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-09-26,"330/183","19.56","1.44",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-10-27,"330/183","19.8","1.2",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
2011-11-23,"330/183","20.03","0.97",170980,270910,21,T7 - ALUVIÕES DO TEJO,,GOLEGÃ
