"data","codigo","precipitacao_dia_mm","nome","coord_x_m","coord_y_m"
1980-03-02,"19E/01UG",0.0,MUGE,"149977","237501"
1980-03-02,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-03-02,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-03-03,"18F/01UG",3.5,ALMEIRIM,"158139","249438"
1980-03-03,"20E/01C",0.8,BARRAGEM DE MAGOS,"151370","224830"
1980-03-03,"17G/02G",10.0,CHAMUSCA,"169523","265977"
1980-03-03,"17G/04UG",6.9,CONSTÂNCIA,"182246.173","278641.37"
1980-03-03,"19E/01UG",1.5,MUGE,"149977","237501"
1980-03-04,"19E/01UG",0.0,MUGE,"149977","237501"
1980-03-04,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-03-04,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-03-05,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-03-05,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-03-05,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-03-05,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-03-06,"19E/01UG",0.3,MUGE,"149977","237501"
1980-03-06,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-03-06,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-03-07,"18F/01UG",2.7,ALMEIRIM,"158139","249438"
1980-03-07,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-03-07,"17G/02G",0.5,CHAMUSCA,"169523","265977"
1980-03-07,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-03-08,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-03-08,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-03-08,"19E/01UG",0.0,MUGE,"149977","237501"
1980-03-08,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
