"data","codigo","nitrato","coord_x_m","coord_y_m","altitude_m","sistema_aquifero","estado","freguesia"
2004-03-30 00:00:00.000,"330/187","5.27",176820,275630,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA
2021-10-06 10:40:00.000,"342/113","71.0",171250,268700,,T7 - ALUVIÕES DO TEJO,,
2011-03-21 10:00:00.000,"330/187","4.0",176820,275630,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA
2022-04-04 10:25:00.000,"342/113","55.0",171250,268700,,T7 - ALUVIÕES DO TEJO,,
2022-10-10 10:20:00.000,"342/113","46.0",171250,268700,,T7 - ALUVIÕES DO TEJO,,
2023-04-10 00:00:00.000,"342/113","37.0",171250,268700,,T7 - ALUVIÕES DO TEJO,,
2004-09-27 00:00:00.000,"330/187","6.601",176820,275630,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA
2023-09-25 10:20:00.000,"342/113","130.0",171250,268700,,T7 - ALUVIÕES DO TEJO,,
2016-04-05 10:50:00.000,"330/233","99.0",170250,273470,,T7 - ALUVIÕES DO TEJO,,
2005-03-28 00:00:00.000,"330/187","5.71",176820,275630,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA
2006-03-06 00:00:00.000,"330/187","7.04",176820,275630,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA
2002-10-28 00:00:00.000,"342/114","100.87",168360,268980,,T7 - ALUVIÕES DO TEJO,,
2003-05-26 00:00:00.000,"342/114","111.59",168360,268980,,T7 - ALUVIÕES DO TEJO,,
2006-10-02 00:00:00.000,"330/187","6.6",176820,275630,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA
2016-10-17 09:25:00.000,"330/233","110.0",170250,273470,,T7 - ALUVIÕES DO TEJO,,
2005-04-12 00:00:00.000,"342/114","110.0",168360,268980,,T7 - ALUVIÕES DO TEJO,,
2007-03-13 00:00:00.000,"330/187","2.26",176820,275630,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA
2017-03-13 00:09:00.000,"330/233","93.0",170250,273470,,T7 - ALUVIÕES DO TEJO,,
2006-05-09 00:00:00.000,"342/114","110.0",168360,268980,,T7 - ALUVIÕES DO TEJO,,
2006-09-12 00:00:00.000,"342/114","130.0",168360,268980,,T7 - ALUVIÕES DO TEJO,,
2008-03-31 00:00:00.000,"330/187","0.98",176820,275630,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA
2008-09-30 00:00:00.000,"342/114","110.0",168360,268980,,T7 - ALUVIÕES DO TEJO,,
2009-05-20 00:00:00.000,"342/114","130.0",168360,268980,,T7 - ALUVIÕES DO TEJO,,
2008-10-13 00:00:00.000,"330/187","5.27",176820,275630,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA
2017-10-09 09:00:00.000,"330/233","84.0",170250,273470,,T7 - ALUVIÕES DO TEJO,,
2009-05-27 00:00:00.000,"330/187","2.259",176820,275630,,T7 - ALUVIÕES DO TEJO,,CARREGUEIRA
2009-10-28 00:00:00.000,"342/114","87.0",168360,268980,,T7 - ALUVIÕES DO TEJO,,
