Ano;Municipio;Volume rega m3;Volume rega hm3;Lat;Long
1989;Abrantes;3347862,102;3,347862102;39,468;-8,264
1989;Alcochete;8460348,743;8,460348743;38,722;-8,895
1989;Alenquer;3341977,268;3,341977268;39,014;-8,94
1989;Almeirim;33028244,15;33,02824415;39,166;-8,599
1989;Alpiarça;32087383,82;32,08738382;39,241;-8,571
1989;Azambuja;12692917,81;12,69291781;39,05;-8,854
1989;Benavente;121477401,8;121,4774018;38,868;-8,809
1989;Cartaxo;14373218,37;14,37321837;39,127;-8,745
1989;Chamusca;8849748,937;8,849748937;39,362;-8,483
1989;Constância;409021,0071;0,4090210071;39,465;-8,303
1989;Coruche;6760278,954;6,760278954;38,978;-8,624
1989;Golegã;44116179,37;44,11617937;39,382;-8,508
1989;Moita;14807953,57;14,80795357;38,647;-8,997
1989;Montijo;48557650,56;48,55765056;38,737;-8,64
1989;Palmela;83402372,69;83,40237269;38,619;-8,807
1989;Salvaterra de Magos;30739430,92;30,73943092;39,043;-8,713
1989;Santarém;36145145,45;36,14514545;39,275;-8,635
1989;Torres Novas;5106779,816;5,106779816;39,421;-8,509
1989;Vila Franca de Xira;32276338,73;32,27633873;38,943;-8,931
1989;Vila Nova da Barquinha;152340,7904;0,1523407904;39,461;-8,395
1999;Abrantes;2737146,642;2,737146642;39,468;-8,264
1999;Alcochete;7680129,047;7,680129047;38,722;-8,895
1999;Alenquer;3094160,356;3,094160356;39,014;-8,94
1999;Almeirim;25846341,11;25,84634111;39,166;-8,599
1999;Alpiarça;33905322,4;33,9053224;39,241;-8,571
1999;Azambuja;15017857,08;15,01785708;39,05;-8,854
1999;Benavente;108109315,7;108,1093157;38,868;-8,809
1999;Cartaxo;14630347,27;14,63034727;39,127;-8,745
1999;Chamusca;6135750,807;6,135750807;39,362;-8,483
1999;Constância;185865,4227;0,1858654227;39,465;-8,303
1999;Coruche;5236528,257;5,236528257;38,978;-8,624
1999;Golegã;40135185,09;40,13518509;39,382;-8,508
1999;Moita;6801318,469;6,801318469;38,647;-8,997
1999;Montijo;42028669,28;42,02866928;38,737;-8,64
1999;Palmela;52600527,49;52,60052749;38,619;-8,807
1999;Salvaterra de Magos;36543924,81;36,54392481;39,043;-8,713
1999;Santarém;27813529,98;27,81352998;39,275;-8,635
1999;Torres Novas;3242595,962;3,242595962;39,421;-8,509
1999;Vila Franca de Xira;21963205,51;21,96320551;38,943;-8,931
1999;Vila Nova da Barquinha;92557,43573;0,09255743573;39,461;-8,395
2009;Abrantes;1840107,407;1,840107407;39,468;-8,264
2009;Alcochete;8676472,891;8,676472891;38,722;-8,895
2009;Alenquer;3461923,506;3,461923506;39,014;-8,94
2009;Almeirim;43096243,29;43,09624329;39,166;-8,599
2009;Alpiarça;29790483,42;29,79048342;39,241;-8,571
2009;Azambuja;15872141,33;15,87214133;39,05;-8,854
2009;Benavente;93037848,24;93,03784824;38,868;-8,809
2009;Cartaxo;24453371,01;24,45337101;39,127;-8,745
2009;Chamusca;5947916,713;5,947916713;39,362;-8,483
2009;Constância;1325503,256;1,325503256;39,465;-8,303
2009;Coruche;5817024,254;5,817024254;38,978;-8,624
2009;Golegã;45555116,26;45,55511626;39,382;-8,508
2009;Moita;2858722,169;2,858722169;38,647;-8,997
2009;Montijo;31569077,06;31,56907706;38,737;-8,64
2009;Palmela;66209792,72;66,20979272;38,619;-8,807
2009;Salvaterra de Magos;42223727,89;42,22372789;39,043;-8,713
2009;Santarém;21055133,54;21,05513354;39,275;-8,635
2009;Torres Novas;4628353,483;4,628353483;39,421;-8,509
2009;Vila Franca de Xira;17830320,46;17,83032046;38,943;-8,931
2009;Vila Nova da Barquinha;1449178,128;1,449178128;39,461;-8,395
2019;Abrantes;2154411,342;2,154411342;39,468;-8,264
2019;Alcochete;11955740,65;11,95574065;38,722;-8,895
2019;Alenquer;4014564,986;4,014564986;39,014;-8,94
2019;Almeirim;45366827,09;45,36682709;39,166;-8,599
2019;Alpiarça;32432131,9;32,4321319;39,241;-8,571
2019;Azambuja;19879983,24;19,87998324;39,05;-8,854
2019;Benavente;86184606,63;86,18460663;38,868;-8,809
2019;Cartaxo;24692553,1;24,6925531;39,127;-8,745
2019;Chamusca;7600962,654;7,600962654;39,362;-8,483
2019;Constância;1698178,4;1,6981784;39,465;-8,303
2019;Coruche;7130819,841;7,130819841;38,978;-8,624
2019;Golegã;52091948,3;52,0919483;39,382;-8,508
2019;Moita;7293181,698;7,293181698;38,647;-8,997
2019;Montijo;36217991,22;36,21799122;38,737;-8,64
2019;Palmela;62925230,04;62,92523004;38,619;-8,807
2019;Salvaterra de Magos;43644913,1;43,6449131;39,043;-8,713
2019;Santarém;26129134,44;26,12913444;39,275;-8,635
2019;Torres Novas;6973219,425;6,973219425;39,421;-8,509
2019;Vila Franca de Xira;27181254,48;27,18125448;38,943;-8,931
2019;Vila Nova da Barquinha;703968,7515;0,7039687515;39,461;-8,395
2022;Abrantes;2398419,024;2,398419024;39,468;-8,264
2022;Alcochete;21614956,96;21,61495696;38,722;-8,895
2022;Alenquer;1066765,121;1,066765121;39,014;-8,94
2022;Almeirim;34765356,18;34,76535618;39,166;-8,599
2022;Alpiarça;22670710,77;22,67071077;39,241;-8,571
2022;Azambuja;32288113,13;32,28811313;39,05;-8,854
2022;Benavente;93581026,52;93,58102652;38,868;-8,809
2022;Cartaxo;30153100,87;30,15310087;39,127;-8,745
2022;Chamusca;24997777,12;24,99777712;39,362;-8,483
2022;Constância;3759313,371;3,759313371;39,465;-8,303
2022;Coruche;985429,572;0,985429572;38,978;-8,624
2022;Golegã;42787052,61;42,78705261;39,382;-8,508
2022;Moita;42948362,33;42,94836233;38,647;-8,997
2022;Montijo;48725071,26;48,72507126;38,737;-8,64
2022;Palmela;57088498,06;57,08849806;38,619;-8,807
2022;Salvaterra de Magos;39485279,9;39,4852799;39,043;-8,713
2022;Santarém;16533250,91;16,53325091;39,275;-8,635
2022;Torres Novas;2632522,617;2,632522617;39,421;-8,509
2022;Vila Franca de Xira;84243327,08;84,24332708;38,943;-8,931
2022;Vila Nova da Barquinha;8211270,076;8,211270076;39,461;-8,395
