"data","codigo","nitrato","coord_x_m","coord_y_m","altitude_m","sistema_aquifero","estado","freguesia"
2018-10-30 00:00:00.000,"319/26","4.2",159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2019-06-25 00:00:00.000,"319/26","4.9",159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2020-06-24 00:00:00.000,"319/26","1.3",159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2020-10-21 00:00:00.000,"319/26","3.9",159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2021-05-19 00:00:00.000,"319/26","2.1",159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2021-09-28 00:00:00.000,"319/26","3.6",159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2022-04-28 00:00:00.000,"319/26","2.4",159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2022-09-27 00:00:00.000,"319/26","2.0",159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2023-06-01 00:00:00.000,"319/26","1.0",159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2015-06-23 00:00:00.000,"319/44","2.5",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2016-06-28 00:00:00.000,"319/44",(<)1.000,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2016-09-28 00:00:00.000,"319/44",(<)1.000,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2017-06-08 00:00:00.000,"319/44",(<)1.000,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2017-10-11 00:00:00.000,"319/44","2.4",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2018-06-26 00:00:00.000,"319/44","5.0",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2018-10-30 00:00:00.000,"319/44","2.6",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2019-06-25 00:00:00.000,"319/44","3.1",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2019-09-25 00:00:00.000,"319/44",(<)1.000,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2020-06-24 00:00:00.000,"319/44","1.9",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2020-10-21 00:00:00.000,"319/44","6.0",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2021-05-19 00:00:00.000,"319/44","1.5",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2021-09-28 00:00:00.000,"319/44","2.5",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2022-09-27 00:00:00.000,"319/44","1.8",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2023-06-01 00:00:00.000,"319/44","2.0",163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2000-04-12 00:00:00.000,"319/67","7.84",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2000-10-25 00:00:00.000,"319/67","5.45",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2001-03-12 00:00:00.000,"319/67","4.96",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2001-10-23 00:00:00.000,"319/67","6.16",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2002-03-11 00:00:00.000,"319/67","2.22",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2002-10-29 00:00:00.000,"319/67","4.25",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2003-03-17 00:00:00.000,"319/67","6.82",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2003-11-17 00:00:00.000,"319/67","6.6",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2004-04-14 00:00:00.000,"319/67","6.16",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2004-10-19 00:00:00.000,"319/67","7.487",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2005-04-18 00:00:00.000,"319/67","7.93",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2005-10-19 00:00:00.000,"319/67","4.21",165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
