"data","localizacao","caudal_médio_diário(m3/s)","coord_x_m","coord_y_m"
1973-10-02,ALMOUROL (17G/02H),"183.90",179148.403,276991.639
1973-10-03,ALMOUROL (17G/02H),"208.20",179148.403,276991.639
1973-10-04,ALMOUROL (17G/02H),"153.70",179148.403,276991.639
1973-10-05,ALMOUROL (17G/02H),"84.80",179148.403,276991.639
1973-10-06,ALMOUROL (17G/02H),"52.50",179148.403,276991.639
1973-10-07,ALMOUROL (17G/02H),"35.50",179148.403,276991.639
1973-10-08,ALMOUROL (17G/02H),"49.20",179148.403,276991.639
1973-10-09,ALMOUROL (17G/02H),"77.70",179148.403,276991.639
1973-10-10,ALMOUROL (17G/02H),"73.00",179148.403,276991.639
1973-10-11,ALMOUROL (17G/02H),"104.90",179148.403,276991.639
1973-10-12,ALMOUROL (17G/02H),"124.80",179148.403,276991.639
1973-10-13,ALMOUROL (17G/02H),"103.00",179148.403,276991.639
1973-10-14,ALMOUROL (17G/02H),"75.90",179148.403,276991.639
1973-10-15,ALMOUROL (17G/02H),"108.70",179148.403,276991.639
1973-10-16,ALMOUROL (17G/02H),"138.20",179148.403,276991.639
1973-10-17,ALMOUROL (17G/02H),"110.80",179148.403,276991.639
1973-10-18,ALMOUROL (17G/02H),"120.50",179148.403,276991.639
1973-10-19,ALMOUROL (17G/02H),"166.10",179148.403,276991.639
1973-10-20,ALMOUROL (17G/02H),"141.10",179148.403,276991.639
1973-10-21,ALMOUROL (17G/02H),"115.60",179148.403,276991.639
1973-10-22,ALMOUROL (17G/02H),"132.30",179148.403,276991.639
1973-10-23,ALMOUROL (17G/02H),"115.60",179148.403,276991.639
1973-10-24,ALMOUROL (17G/02H),"178.30",179148.403,276991.639
1973-10-25,ALMOUROL (17G/02H),"192.90",179148.403,276991.639
1973-10-26,ALMOUROL (17G/02H),"194.80",179148.403,276991.639
1973-10-27,ALMOUROL (17G/02H),"218.70",179148.403,276991.639
1973-10-28,ALMOUROL (17G/02H),"206.10",179148.403,276991.639
1973-10-29,ALMOUROL (17G/02H),"233.10",179148.403,276991.639
1973-10-30,ALMOUROL (17G/02H),"322.90",179148.403,276991.639
1973-10-31,ALMOUROL (17G/02H),"246.20",179148.403,276991.639
1973-11-01,ALMOUROL (17G/02H),"284.30",179148.403,276991.639
1973-11-02,ALMOUROL (17G/02H),"307.20",179148.403,276991.639
1973-11-03,ALMOUROL (17G/02H),"358.90",179148.403,276991.639
1973-11-04,ALMOUROL (17G/02H),"356.70",179148.403,276991.639
1973-11-05,ALMOUROL (17G/02H),"261.20",179148.403,276991.639
1973-11-06,ALMOUROL (17G/02H),"201.90",179148.403,276991.639
1973-11-07,ALMOUROL (17G/02H),"282.00",179148.403,276991.639
1973-11-08,ALMOUROL (17G/02H),"266.30",179148.403,276991.639
1973-11-09,ALMOUROL (17G/02H),"353.20",179148.403,276991.639
1973-11-10,ALMOUROL (17G/02H),"387.20",179148.403,276991.639
1973-11-11,ALMOUROL (17G/02H),"353.50",179148.403,276991.639
1973-11-12,ALMOUROL (17G/02H),"386.40",179148.403,276991.639
1973-11-13,ALMOUROL (17G/02H),"403.80",179148.403,276991.639
1973-11-14,ALMOUROL (17G/02H),"392.80",179148.403,276991.639
1973-11-15,ALMOUROL (17G/02H),"372.70",179148.403,276991.639
1973-11-16,ALMOUROL (17G/02H),"405.20",179148.403,276991.639
1973-11-17,ALMOUROL (17G/02H),"363.60",179148.403,276991.639
1973-11-18,ALMOUROL (17G/02H),"456.10",179148.403,276991.639
1973-11-19,ALMOUROL (17G/02H),"372.90",179148.403,276991.639
1973-11-20,ALMOUROL (17G/02H),"493.70",179148.403,276991.639
1973-11-21,ALMOUROL (17G/02H),"455.20",179148.403,276991.639
1973-11-22,ALMOUROL (17G/02H),"374.40",179148.403,276991.639
1973-11-23,ALMOUROL (17G/02H),"320.10",179148.403,276991.639
1973-11-24,ALMOUROL (17G/02H),"415.90",179148.403,276991.639
1973-11-25,ALMOUROL (17G/02H),"297.40",179148.403,276991.639
1973-11-26,ALMOUROL (17G/02H),"232.10",179148.403,276991.639
1973-11-27,ALMOUROL (17G/02H),"147.50",179148.403,276991.639
1973-11-28,ALMOUROL (17G/02H),"152.90",179148.403,276991.639
1973-11-29,ALMOUROL (17G/02H),"247.00",179148.403,276991.639
1973-11-30,ALMOUROL (17G/02H),"362.40",179148.403,276991.639
1973-12-01,ALMOUROL (17G/02H),"256.50",179148.403,276991.639
1973-12-02,ALMOUROL (17G/02H),"139.30",179148.403,276991.639
1973-12-05,ALMOUROL (17G/02H),"372.90",179148.403,276991.639
1973-12-06,ALMOUROL (17G/02H),"295.20",179148.403,276991.639
1973-12-07,ALMOUROL (17G/02H),"259.80",179148.403,276991.639
1973-12-08,ALMOUROL (17G/02H),"144.80",179148.403,276991.639
1973-12-09,ALMOUROL (17G/02H),"133.90",179148.403,276991.639
1973-12-20,ALMOUROL (17G/02H),"618.10",179148.403,276991.639
1973-12-21,ALMOUROL (17G/02H),"499.70",179148.403,276991.639
1973-12-22,ALMOUROL (17G/02H),"315.20",179148.403,276991.639
1973-12-23,ALMOUROL (17G/02H),"217.30",179148.403,276991.639
1973-12-24,ALMOUROL (17G/02H),"163.20",179148.403,276991.639
1973-12-25,ALMOUROL (17G/02H),"254.70",179148.403,276991.639
1973-12-26,ALMOUROL (17G/02H),"196.10",179148.403,276991.639
1973-12-27,ALMOUROL (17G/02H),"234.70",179148.403,276991.639
1973-12-28,ALMOUROL (17G/02H),"188.60",179148.403,276991.639
1973-12-29,ALMOUROL (17G/02H),"139.10",179148.403,276991.639
1973-12-30,ALMOUROL (17G/02H),"95.50",179148.403,276991.639
1973-12-31,ALMOUROL (17G/02H),"366.10",179148.403,276991.639
1974-01-01,ALMOUROL (17G/02H),"515.10",179148.403,276991.639
1974-01-02,ALMOUROL (17G/02H),"320.90",179148.403,276991.639
1974-01-03,ALMOUROL (17G/02H),"387.10",179148.403,276991.639
1974-01-04,ALMOUROL (17G/02H),"269.50",179148.403,276991.639
1974-01-05,ALMOUROL (17G/02H),"269.50",179148.403,276991.639
1974-01-06,ALMOUROL (17G/02H),"386.70",179148.403,276991.639
1974-01-07,ALMOUROL (17G/02H),"487.10",179148.403,276991.639
1974-01-08,ALMOUROL (17G/02H),"410.30",179148.403,276991.639
1974-01-09,ALMOUROL (17G/02H),"347.70",179148.403,276991.639
1974-01-10,ALMOUROL (17G/02H),"504.20",179148.403,276991.639
1974-01-11,ALMOUROL (17G/02H),"480.70",179148.403,276991.639
1974-01-12,ALMOUROL (17G/02H),"438.40",179148.403,276991.639
1974-01-13,ALMOUROL (17G/02H),"343.40",179148.403,276991.639
1974-01-14,ALMOUROL (17G/02H),"423.70",179148.403,276991.639
1974-01-17,ALMOUROL (17G/02H),"278.20",179148.403,276991.639
1974-01-18,ALMOUROL (17G/02H),"314.30",179148.403,276991.639
1974-01-19,ALMOUROL (17G/02H),"383.60",179148.403,276991.639
1974-01-20,ALMOUROL (17G/02H),"248.50",179148.403,276991.639
1974-01-21,ALMOUROL (17G/02H),"307.30",179148.403,276991.639
1974-01-22,ALMOUROL (17G/02H),"459.20",179148.403,276991.639
1974-01-23,ALMOUROL (17G/02H),"555.30",179148.403,276991.639
1974-01-24,ALMOUROL (17G/02H),"629.10",179148.403,276991.639
1974-01-25,ALMOUROL (17G/02H),"688.30",179148.403,276991.639
1974-01-26,ALMOUROL (17G/02H),"643.60",179148.403,276991.639
1974-01-27,ALMOUROL (17G/02H),"536.00",179148.403,276991.639
1974-01-28,ALMOUROL (17G/02H),"689.70",179148.403,276991.639
1974-01-29,ALMOUROL (17G/02H),"736.20",179148.403,276991.639
1974-01-30,ALMOUROL (17G/02H),"685.00",179148.403,276991.639
1974-01-31,ALMOUROL (17G/02H),"745.70",179148.403,276991.639
1974-02-01,ALMOUROL (17G/02H),"819.10",179148.403,276991.639
1974-02-02,ALMOUROL (17G/02H),"978.20",179148.403,276991.639
1974-02-03,ALMOUROL (17G/02H),"720.80",179148.403,276991.639
1974-02-04,ALMOUROL (17G/02H),"670.20",179148.403,276991.639
1974-02-05,ALMOUROL (17G/02H),"692.40",179148.403,276991.639
1974-02-06,ALMOUROL (17G/02H),"601.40",179148.403,276991.639
1974-02-07,ALMOUROL (17G/02H),"615.10",179148.403,276991.639
