"data","localizacao","condutividade","condcamp20c"
2016-06-28 00:00:00.000,"319/104",710.0,
2016-09-28 00:00:00.000,"319/104",807.0,
2017-06-13 00:00:00.000,"319/104",686.0,
2017-10-11 00:00:00.000,"319/104",657.0,
2018-06-26 00:00:00.000,"319/104",620.0,
2018-10-30 00:00:00.000,"319/104",776.0,
2019-06-25 00:00:00.000,"319/104",666.0,
2019-09-25 00:00:00.000,"319/104",674.0,
2020-06-24 00:00:00.000,"319/104",588.0,
2020-10-21 00:00:00.000,"319/104",646.0,
2021-05-19 00:00:00.000,"319/104",633.0,
2021-09-28 00:00:00.000,"319/104",646.0,
2022-04-26 00:00:00.000,"319/104",649.0,
2022-09-27 00:00:00.000,"319/104",639.0,
2023-06-01 00:00:00.000,"319/104",636.0,
2017-06-27 00:00:00.000,"319/26",633.0,
2017-10-24 00:00:00.000,"319/26",648.0,
2018-06-13 00:00:00.000,"319/26",586.0,
2018-10-30 00:00:00.000,"319/26",854.0,
2019-06-25 00:00:00.000,"319/26",711.0,
2020-06-24 00:00:00.000,"319/26",251.0,
2020-10-21 00:00:00.000,"319/26",606.0,
2021-05-19 00:00:00.000,"319/26",576.0,
2021-09-28 00:00:00.000,"319/26",573.0,
2022-04-28 00:00:00.000,"319/26",574.0,
2022-09-27 00:00:00.000,"319/26",589.0,
2023-06-01 00:00:00.000,"319/26",577.0,
2015-06-23 00:00:00.000,"319/44",619.0,
2016-06-28 00:00:00.000,"319/44",538.0,
2016-09-28 00:00:00.000,"319/44",655.0,
2017-06-08 00:00:00.000,"319/44",554.0,
2017-10-11 00:00:00.000,"319/44",579.0,
2018-06-26 00:00:00.000,"319/44",534.0,
2018-10-30 00:00:00.000,"319/44",563.0,
2019-06-25 00:00:00.000,"319/44",561.0,
2019-09-25 00:00:00.000,"319/44",566.0,
2020-06-24 00:00:00.000,"319/44",254.0,
2020-10-21 00:00:00.000,"319/44",541.0,
2021-05-19 00:00:00.000,"319/44",539.0,
2021-09-28 00:00:00.000,"319/44",555.0,
2022-09-27 00:00:00.000,"319/44",553.0,
2023-06-01 00:00:00.000,"319/44",560.0,
2000-04-12 00:00:00.000,"319/67",,772.0
2000-10-25 00:00:00.000,"319/67",,653.0
2001-03-12 00:00:00.000,"319/67",,652.0
2001-10-23 09:55:00.000,"319/67",,748.0
2002-03-11 00:00:00.000,"319/67",,636.0
2002-10-29 00:00:00.000,"319/67",,722.0
2003-03-17 00:00:00.000,"319/67",,744.0
2003-11-17 00:00:00.000,"319/67",,710.0
2004-04-14 00:00:00.000,"319/67",,647.0
2004-10-19 00:00:00.000,"319/67",,793.0
2006-03-27 00:00:00.000,"319/67",,727.0
2006-10-03 00:00:00.000,"319/67",,726.0
2007-04-04 00:00:00.000,"319/67",,720.0
2007-10-15 00:00:00.000,"319/67",,730.0
2008-02-27 00:00:00.000,"319/67",,620.0
2008-10-01 00:00:00.000,"319/67",,740.0
2009-04-13 00:00:00.000,"319/67",,710.0
2009-09-21 00:00:00.000,"319/67",,650.0
2015-03-23 00:00:00.000,"328/8",116.0,
2015-09-28 00:00:00.000,"328/8",194.0,
2016-09-26 00:00:00.000,"328/8",126.0,
2017-03-27 00:00:00.000,"328/8",230.0,
2017-09-25 00:00:00.000,"328/8",200.0,
2018-04-02 00:00:00.000,"328/8",310.0,
2019-04-01 00:00:00.000,"328/8",310.0,
2019-09-23 00:00:00.000,"328/8",200.0,
2020-09-28 00:00:00.000,"328/8",170.0,
2021-03-22 00:00:00.000,"328/8",223.0,
2021-09-27 00:00:00.000,"328/8",322.0,
2022-03-21 00:00:00.000,"328/8",208.0,
2022-10-03 00:00:00.000,"328/8",217.0,
2023-03-27 00:00:00.000,"328/8",117.0,
2023-09-25 00:00:00.000,"328/8",213.0,
2012-03-21 00:00:00.000,"328/80",625.0,
2012-09-19 00:00:00.000,"328/80",623.0,
2013-06-12 00:00:00.000,"328/80",590.0,
2013-09-11 00:00:00.000,"328/80",622.0,
2014-03-12 00:00:00.000,"328/80",620.0,
2014-09-10 00:00:00.000,"328/80",624.0,
2015-03-11 00:00:00.000,"328/80",617.0,
2015-09-16 00:00:00.000,"328/80",621.0,
2016-03-09 00:00:00.000,"328/80",619.0,
2016-09-21 00:00:00.000,"328/80",620.0,
2017-03-03 00:00:00.000,"328/80",667.0,
2017-09-20 00:00:00.000,"328/80",609.0,
2018-03-07 00:00:00.000,"328/80",610.0,
2018-09-05 00:00:00.000,"328/80",630.0,
2019-03-13 00:00:00.000,"328/80",620.0,
2019-09-04 00:00:00.000,"328/80",611.0,
2020-04-22 00:00:00.000,"328/80",605.0,
2020-10-14 00:00:00.000,"328/80",624.0,
2021-04-13 00:00:00.000,"328/80",623.0,
2012-08-22 00:00:00.000,"328/81",137.0,
2012-11-21 00:00:00.000,"328/81",159.0,
2013-06-12 00:00:00.000,"328/81",175.0,
2013-09-11 00:00:00.000,"328/81",141.0,
2014-03-12 00:00:00.000,"328/81",122.0,
2014-09-10 00:00:00.000,"328/81",140.0,
2015-03-11 00:00:00.000,"328/81",157.0,
2015-09-16 00:00:00.000,"328/81",165.0,
2016-03-09 00:00:00.000,"328/81",156.0,
2016-09-21 00:00:00.000,"328/81",138.0,
2017-03-08 00:00:00.000,"328/81",136.0,
2017-09-20 00:00:00.000,"328/81",137.0,
2018-03-07 00:00:00.000,"328/81",143.0,
2018-09-05 00:00:00.000,"328/81",140.0,
2019-03-13 00:00:00.000,"328/81",136.0,
2020-05-20 00:00:00.000,"328/81",130.0,
2020-10-14 00:00:00.000,"328/81",120.0,
2021-04-13 00:00:00.000,"328/81",118.0,
2021-10-20 00:00:00.000,"328/81",114.0,
2022-04-12 00:00:00.000,"328/81",114.0,
2022-10-11 00:00:00.000,"328/81",117.0,
2023-03-08 00:00:00.000,"328/81",116.0,
2000-04-12 00:00:00.000,"329/10",,500.0
