id,data,codigo,condutividade,condcamp20c,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
1,2003-10-13 00:00:00+00,330/231,,407.00,175050.00,275180.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:16:15.142609+00
2,2004-10-19 00:00:00+00,330/231,,479.00,175050.00,275180.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:16:15.142609+00
3,2006-05-15 00:00:00+00,330/231,,517.00,175050.00,275180.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:16:15.142609+00
58,2002-03-11 00:00:00+00,329/10,,417.00,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:16:15.142609+00
121,2000-04-12 00:00:00+00,329/10,,500.00,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:16:15.142609+00
122,2000-10-25 00:00:00+00,329/10,,412.00,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:16:15.142609+00
123,2001-10-23 11:40:00+00,329/10,,480.00,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:16:15.142609+00
124,2006-09-13 00:00:00+00,330/231,,421.00,175050.00,275180.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:16:15.142609+00
125,2002-10-29 00:00:00+00,329/10,,458.00,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:16:15.142609+00
126,2003-03-17 00:00:00+00,329/10,,489.00,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:16:15.142609+00
127,2003-11-17 00:00:00+00,329/10,,469.00,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:16:15.142609+00
128,2004-04-14 00:00:00+00,329/10,,432.00,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:16:15.142609+00
129,2004-10-19 00:00:00+00,329/10,,547.00,167430.00,271260.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ,2025-07-17 14:16:15.142609+00
