"data","localizacao","nitrato"
2016-06-28 00:00:00.000,"319/104","6.7"
2016-09-28 00:00:00.000,"319/104",(<)1.000
2017-06-13 00:00:00.000,"319/104",(<)1.000
2017-10-11 00:00:00.000,"319/104","2.6"
2018-06-26 00:00:00.000,"319/104",(<)1.000
2018-10-30 00:00:00.000,"319/104","1.3"
2019-06-25 00:00:00.000,"319/104","3.4"
2019-09-25 00:00:00.000,"319/104",(<)1.000
2020-06-24 00:00:00.000,"319/104","2.8"
2020-10-21 00:00:00.000,"319/104","2.4"
2021-05-19 00:00:00.000,"319/104","2.5"
2021-09-28 00:00:00.000,"319/104","3.2"
2022-04-26 00:00:00.000,"319/104","2.9"
2022-09-27 00:00:00.000,"319/104","2.6"
2023-06-01 00:00:00.000,"319/104","3.1"
2017-06-27 00:00:00.000,"319/26","5.4"
2017-10-24 00:00:00.000,"319/26","7.1"
2018-06-13 00:00:00.000,"319/26","4.4"
2018-10-30 00:00:00.000,"319/26","4.2"
2019-06-25 00:00:00.000,"319/26","4.9"
2020-06-24 00:00:00.000,"319/26","1.3"
2020-10-21 00:00:00.000,"319/26","3.9"
2021-05-19 00:00:00.000,"319/26","2.1"
2021-09-28 00:00:00.000,"319/26","3.6"
2022-04-28 00:00:00.000,"319/26","2.4"
2022-09-27 00:00:00.000,"319/26","2.0"
2023-06-01 00:00:00.000,"319/26","1.0"
2015-06-23 00:00:00.000,"319/44","2.5"
2016-06-28 00:00:00.000,"319/44",(<)1.000
2016-09-28 00:00:00.000,"319/44",(<)1.000
2017-06-08 00:00:00.000,"319/44",(<)1.000
2017-10-11 00:00:00.000,"319/44","2.4"
2018-06-26 00:00:00.000,"319/44","5.0"
2018-10-30 00:00:00.000,"319/44","2.6"
2019-06-25 00:00:00.000,"319/44","3.1"
2019-09-25 00:00:00.000,"319/44",(<)1.000
2020-06-24 00:00:00.000,"319/44","1.9"
2020-10-21 00:00:00.000,"319/44","6.0"
2021-05-19 00:00:00.000,"319/44","1.5"
2021-09-28 00:00:00.000,"319/44","2.5"
2022-09-27 00:00:00.000,"319/44","1.8"
2023-06-01 00:00:00.000,"319/44","2.0"
2000-04-12 00:00:00.000,"319/67","7.84"
2000-10-25 00:00:00.000,"319/67","5.45"
2001-03-12 00:00:00.000,"319/67","4.96"
2001-10-23 00:00:00.000,"319/67","6.16"
2002-03-11 00:00:00.000,"319/67","2.22"
2002-10-29 00:00:00.000,"319/67","4.25"
2003-03-17 00:00:00.000,"319/67","6.82"
2003-11-17 00:00:00.000,"319/67","6.6"
2004-04-14 00:00:00.000,"319/67","6.16"
2004-10-19 00:00:00.000,"319/67","7.487"
2005-04-18 00:00:00.000,"319/67","7.93"
2005-10-19 00:00:00.000,"319/67","4.21"
2006-03-27 00:00:00.000,"319/67","3.94"
2006-10-03 00:00:00.000,"319/67","7.93"
2007-04-04 00:00:00.000,"319/67","4.39"
2008-04-02 00:00:00.000,"319/67","3.23"
2008-10-01 00:00:00.000,"319/67","3.6"
2009-04-13 00:00:00.000,"319/67","4.1"
2009-09-21 00:00:00.000,"319/67","20.378"
