,gwl,gwl_lag_1,gwl_lag_2,gwl_lag_3,trend_slope,trend_direction,month,season,trend_increasing,trend_decreasing,trend_no_trend
2005-05-31,-4.47,-0.97,-2.36,-3.75,0.009066117012842882,no trend,5,Spring,0,0,1
2005-06-30,-5.44,-4.47,-0.97,-2.36,0.009066117012842882,no trend,6,Spring,0,0,1
2005-07-31,-6.3,-5.44,-4.47,-0.97,0.009066117012842882,no trend,7,Summer,0,0,1
2005-08-31,-7.23,-6.3,-5.44,-4.47,0.009066117012842882,no trend,8,Summer,0,0,1
2005-09-30,-8.17,-7.23,-6.3,-5.44,0.009066117012842882,no trend,9,Summer,0,0,1
2005-10-31,-6.835,-8.17,-7.23,-6.3,0.009066117012842882,no trend,10,Fall,0,0,1
2005-11-30,-5.5,-6.835,-8.17,-7.23,0.009066117012842882,no trend,11,Fall,0,0,1
2005-12-31,-4.165,-5.5,-6.835,-8.17,0.009066117012842882,no trend,12,Fall,0,0,1
2006-01-31,-2.83,-4.165,-5.5,-6.835,0.009066117012842882,no trend,1,Winter,0,0,1
2006-02-28,-1.76,-2.83,-4.165,-5.5,0.009066117012842882,no trend,2,Winter,0,0,1
2006-03-31,-1.01,-1.76,-2.83,-4.165,0.009066117012842882,no trend,3,Winter,0,0,1
2006-04-30,-0.95,-1.01,-1.76,-2.83,0.009066117012842882,no trend,4,Spring,0,0,1
2006-05-31,-1.08,-0.95,-1.01,-1.76,0.009066117012842882,no trend,5,Spring,0,0,1
2006-06-30,-1.37,-1.08,-0.95,-1.01,0.009066117012842882,no trend,6,Spring,0,0,1
2006-07-31,-1.57,-1.37,-1.08,-0.95,0.009066117012842882,no trend,7,Summer,0,0,1
2006-08-31,-2.89,-1.57,-1.37,-1.08,0.009066117012842882,no trend,8,Summer,0,0,1
2006-09-30,-1.0,-2.89,-1.57,-1.37,0.009066117012842882,no trend,9,Summer,0,0,1
2006-10-31,-1.16,-1.0,-2.89,-1.57,0.009066117012842882,no trend,10,Fall,0,0,1
2006-11-30,-1.0,-1.16,-1.0,-2.89,0.009066117012842882,no trend,11,Fall,0,0,1
2006-12-31,-0.88,-1.0,-1.16,-1.0,0.009066117012842882,no trend,12,Fall,0,0,1
2007-01-31,-0.9,-0.88,-1.0,-1.16,0.009066117012842882,no trend,1,Winter,0,0,1
2007-02-28,-1.04,-0.9,-0.88,-1.0,0.009066117012842882,no trend,2,Winter,0,0,1
2007-03-31,-0.84,-1.04,-0.9,-0.88,0.009066117012842882,no trend,3,Winter,0,0,1
2007-04-30,-0.96,-0.84,-1.04,-0.9,0.009066117012842882,no trend,4,Spring,0,0,1
2007-05-31,-0.94,-0.96,-0.84,-1.04,0.009066117012842882,no trend,5,Spring,0,0,1
2007-06-30,-1.03,-0.94,-0.96,-0.84,0.009066117012842882,no trend,6,Spring,0,0,1
2007-07-31,-1.05,-1.03,-0.94,-0.96,0.009066117012842882,no trend,7,Summer,0,0,1
2007-08-31,-1.11,-1.05,-1.03,-0.94,0.009066117012842882,no trend,8,Summer,0,0,1
2007-09-30,-1.08,-1.11,-1.05,-1.03,0.009066117012842882,no trend,9,Summer,0,0,1
2007-10-31,-1.8,-1.08,-1.11,-1.05,0.009066117012842882,no trend,10,Fall,0,0,1
2007-11-30,-0.94,-1.8,-1.08,-1.11,0.009066117012842882,no trend,11,Fall,0,0,1
2007-12-31,-0.97,-0.94,-1.8,-1.08,0.009066117012842882,no trend,12,Fall,0,0,1
2008-01-31,-0.64,-0.97,-0.94,-1.8,0.009066117012842882,no trend,1,Winter,0,0,1
2008-02-29,-1.03,-0.64,-0.97,-0.94,0.009066117012842882,no trend,2,Winter,0,0,1
2008-03-31,-1.1,-1.03,-0.64,-0.97,0.009066117012842882,no trend,3,Winter,0,0,1
2008-04-30,-0.97,-1.1,-1.03,-0.64,0.009066117012842882,no trend,4,Spring,0,0,1
2008-05-31,-1.06,-0.97,-1.1,-1.03,0.009066117012842882,no trend,5,Spring,0,0,1
2008-06-30,-0.94,-1.06,-0.97,-1.1,0.009066117012842882,no trend,6,Spring,0,0,1
2008-07-31,-1.05,-0.94,-1.06,-0.97,0.009066117012842882,no trend,7,Summer,0,0,1
2008-08-31,-1.71,-1.05,-0.94,-1.06,0.009066117012842882,no trend,8,Summer,0,0,1
2008-09-30,-2.96,-1.71,-1.05,-0.94,0.009066117012842882,no trend,9,Summer,0,0,1
2008-10-31,-2.1,-2.96,-1.71,-1.05,0.009066117012842882,no trend,10,Fall,0,0,1
2008-11-30,-3.54,-2.1,-2.96,-1.71,0.009066117012842882,no trend,11,Fall,0,0,1
2008-12-31,-2.87,-3.54,-2.1,-2.96,0.009066117012842882,no trend,12,Fall,0,0,1
2009-01-31,-8.42,-2.87,-3.54,-2.1,0.009066117012842882,no trend,1,Winter,0,0,1
2009-02-28,-4.86,-8.42,-2.87,-3.54,0.009066117012842882,no trend,2,Winter,0,0,1
2009-03-31,-9.06,-4.86,-8.42,-2.87,0.009066117012842882,no trend,3,Winter,0,0,1
2009-04-30,-10.14,-9.06,-4.86,-8.42,0.009066117012842882,no trend,4,Spring,0,0,1
2009-05-31,-8.43,-10.14,-9.06,-4.86,0.009066117012842882,no trend,5,Spring,0,0,1
2009-06-30,-9.5,-8.43,-10.14,-9.06,0.009066117012842882,no trend,6,Spring,0,0,1
2009-07-31,-9.89,-9.5,-8.43,-10.14,0.009066117012842882,no trend,7,Summer,0,0,1
2009-08-31,-10.86,-9.89,-9.5,-8.43,0.009066117012842882,no trend,8,Summer,0,0,1
2009-09-30,-11.43,-10.86,-9.89,-9.5,0.009066117012842882,no trend,9,Summer,0,0,1
2009-10-31,-3.92,-11.43,-10.86,-9.89,0.009066117012842882,no trend,10,Fall,0,0,1
2009-11-30,-5.56,-3.92,-11.43,-10.86,0.009066117012842882,no trend,11,Fall,0,0,1
2009-12-31,-8.52,-5.56,-3.92,-11.43,0.009066117012842882,no trend,12,Fall,0,0,1
2010-01-31,-1.05,-8.52,-5.56,-3.92,0.009066117012842882,no trend,1,Winter,0,0,1
2010-02-28,-1.48,-1.05,-8.52,-5.56,0.009066117012842882,no trend,2,Winter,0,0,1
2010-03-31,-1.12,-1.48,-1.05,-8.52,0.009066117012842882,no trend,3,Winter,0,0,1
2010-04-30,-1.05,-1.12,-1.48,-1.05,0.009066117012842882,no trend,4,Spring,0,0,1
2010-05-31,-1.16,-1.05,-1.12,-1.48,0.009066117012842882,no trend,5,Spring,0,0,1
2010-06-30,-1.9,-1.16,-1.05,-1.12,0.009066117012842882,no trend,6,Spring,0,0,1
2010-07-31,-2.28,-1.9,-1.16,-1.05,0.009066117012842882,no trend,7,Summer,0,0,1
2010-08-31,-3.0,-2.28,-1.9,-1.16,0.009066117012842882,no trend,8,Summer,0,0,1
2010-09-30,-3.56,-3.0,-2.28,-1.9,0.009066117012842882,no trend,9,Summer,0,0,1
2010-10-31,-0.92,-3.56,-3.0,-2.28,0.009066117012842882,no trend,10,Fall,0,0,1
2010-11-30,-1.12,-0.92,-3.56,-3.0,0.009066117012842882,no trend,11,Fall,0,0,1
2010-12-31,-0.83,-1.12,-0.92,-3.56,0.009066117012842882,no trend,12,Fall,0,0,1
2011-01-31,-0.88,-0.83,-1.12,-0.92,0.009066117012842882,no trend,1,Winter,0,0,1
2011-02-28,-0.93,-0.88,-0.83,-1.12,0.009066117012842882,no trend,2,Winter,0,0,1
2011-03-31,-1.04,-0.93,-0.88,-0.83,0.009066117012842882,no trend,3,Winter,0,0,1
2011-04-30,-0.97,-1.04,-0.93,-0.88,0.009066117012842882,no trend,4,Spring,0,0,1
2011-05-31,-1.12,-0.97,-1.04,-0.93,0.009066117012842882,no trend,5,Spring,0,0,1
2011-06-30,-1.68,-1.12,-0.97,-1.04,0.009066117012842882,no trend,6,Spring,0,0,1
2011-07-31,-1.98,-1.68,-1.12,-0.97,0.009066117012842882,no trend,7,Summer,0,0,1
2011-08-31,-2.55,-1.98,-1.68,-1.12,0.009066117012842882,no trend,8,Summer,0,0,1
2011-09-30,-1.44,-2.55,-1.98,-1.68,0.009066117012842882,no trend,9,Summer,0,0,1
2011-10-31,-1.2,-1.44,-2.55,-1.98,0.009066117012842882,no trend,10,Fall,0,0,1
2011-11-30,-0.97,-1.2,-1.44,-2.55,0.009066117012842882,no trend,11,Fall,0,0,1
2011-12-31,-1.35,-0.97,-1.2,-1.44,0.009066117012842882,no trend,12,Fall,0,0,1
2012-01-31,-1.93,-1.35,-0.97,-1.2,0.009066117012842882,no trend,1,Winter,0,0,1
2012-02-29,-2.45,-1.93,-1.35,-0.97,0.009066117012842882,no trend,2,Winter,0,0,1
2012-03-31,-2.8,-2.45,-1.93,-1.35,0.009066117012842882,no trend,3,Winter,0,0,1
2012-04-30,-3.16,-2.8,-2.45,-1.93,0.009066117012842882,no trend,4,Spring,0,0,1
2012-05-31,-1.48,-3.16,-2.8,-2.45,0.009066117012842882,no trend,5,Spring,0,0,1
2012-06-30,-1.86,-1.48,-3.16,-2.8,0.009066117012842882,no trend,6,Spring,0,0,1
2012-07-31,-2.24,-1.86,-1.48,-3.16,0.009066117012842882,no trend,7,Summer,0,0,1
2012-08-31,-2.72,-2.24,-1.86,-1.48,0.009066117012842882,no trend,8,Summer,0,0,1
2012-09-30,-3.62,-2.72,-2.24,-1.86,0.009066117012842882,no trend,9,Summer,0,0,1
2012-10-31,-2.4,-3.62,-2.72,-2.24,0.009066117012842882,no trend,10,Fall,0,0,1
2012-11-30,-1.18,-2.4,-3.62,-2.72,0.009066117012842882,no trend,11,Fall,0,0,1
2012-12-31,-1.18,-1.18,-2.4,-3.62,0.009066117012842882,no trend,12,Fall,0,0,1
2013-01-31,-1.47,-1.18,-1.18,-2.4,0.009066117012842882,no trend,1,Winter,0,0,1
2013-02-28,-1.16,-1.47,-1.18,-1.18,0.009066117012842882,no trend,2,Winter,0,0,1
2013-03-31,-0.88,-1.16,-1.47,-1.18,0.009066117012842882,no trend,3,Winter,0,0,1
2013-04-30,-1.34,-0.88,-1.16,-1.47,0.009066117012842882,no trend,4,Spring,0,0,1
2013-05-31,-1.6,-1.34,-0.88,-1.16,0.009066117012842882,no trend,5,Spring,0,0,1
2013-06-30,-2.0,-1.6,-1.34,-0.88,0.009066117012842882,no trend,6,Spring,0,0,1
2013-07-31,-2.46,-2.0,-1.6,-1.34,0.009066117012842882,no trend,7,Summer,0,0,1
2013-08-31,-2.63,-2.46,-2.0,-1.6,0.009066117012842882,no trend,8,Summer,0,0,1
2013-09-30,-3.77,-2.63,-2.46,-2.0,0.009066117012842882,no trend,9,Summer,0,0,1
2013-10-31,-0.98,-3.77,-2.63,-2.46,0.009066117012842882,no trend,10,Fall,0,0,1
2013-11-30,-1.6,-0.98,-3.77,-2.63,0.009066117012842882,no trend,11,Fall,0,0,1
2013-12-31,-2.32,-1.6,-0.98,-3.77,0.009066117012842882,no trend,12,Fall,0,0,1
2014-01-31,-1.11,-2.32,-1.6,-0.98,0.009066117012842882,no trend,1,Winter,0,0,1
2014-02-28,-1.17,-1.11,-2.32,-1.6,0.009066117012842882,no trend,2,Winter,0,0,1
2014-03-31,-1.51,-1.17,-1.11,-2.32,0.009066117012842882,no trend,3,Winter,0,0,1
2014-04-30,-1.85,-1.51,-1.17,-1.11,0.009066117012842882,no trend,4,Spring,0,0,1
2014-05-31,-2.24,-1.85,-1.51,-1.17,0.009066117012842882,no trend,5,Spring,0,0,1
2014-06-30,-1.99,-2.24,-1.85,-1.51,0.009066117012842882,no trend,6,Spring,0,0,1
2014-07-31,-1.43,-1.99,-2.24,-1.85,0.009066117012842882,no trend,7,Summer,0,0,1
2014-08-31,-1.98,-1.43,-1.99,-2.24,0.009066117012842882,no trend,8,Summer,0,0,1
2014-09-30,-1.5,-1.98,-1.43,-1.99,0.009066117012842882,no trend,9,Summer,0,0,1
2014-10-31,-1.02,-1.5,-1.98,-1.43,0.009066117012842882,no trend,10,Fall,0,0,1
2014-11-30,-1.06,-1.02,-1.5,-1.98,0.009066117012842882,no trend,11,Fall,0,0,1
2014-12-31,-1.0999999999999999,-1.06,-1.02,-1.5,0.009066117012842882,no trend,12,Fall,0,0,1
2015-01-31,-1.14,-1.0999999999999999,-1.06,-1.02,0.009066117012842882,no trend,1,Winter,0,0,1
2015-02-28,-1.48,-1.14,-1.0999999999999999,-1.06,0.009066117012842882,no trend,2,Winter,0,0,1
2015-03-31,-1.69,-1.48,-1.14,-1.0999999999999999,0.009066117012842882,no trend,3,Winter,0,0,1
2015-04-30,-1.96,-1.69,-1.48,-1.14,0.009066117012842882,no trend,4,Spring,0,0,1
